"Notes"	"Year"	"Year Code"	"County"	"County Code"	"Bridged Race"	"Bridged Race Code"	Births
	"2003"	"2003"	"Jefferson County, AL"	"01073"	"Black or African American"	"2054-5"	4146
	"2003"	"2003"	"Jefferson County, AL"	"01073"	"White"	"2106-3"	4309
	"2003"	"2003"	"Duval County, FL"	"12031"	"Black or African American"	"2054-5"	4348
	"2003"	"2003"	"Duval County, FL"	"12031"	"White"	"2106-3"	6653
	"2003"	"2003"	"Marion County, IN"	"18097"	"Black or African American"	"2054-5"	4027
	"2003"	"2003"	"Marion County, IN"	"18097"	"White"	"2106-3"	8549
	"2003"	"2003"	"Jefferson County, KY"	"21111"	"Black or African American"	"2054-5"	2382
	"2003"	"2003"	"Jefferson County, KY"	"21111"	"White"	"2106-3"	6568
	"2003"	"2003"	"Kent County, MI"	"26081"	"Black or African American"	"2054-5"	1096
	"2003"	"2003"	"Kent County, MI"	"26081"	"White"	"2106-3"	6565
	"2003"	"2003"	"Jackson County, MO"	"29095"	"Black or African American"	"2054-5"	2736
	"2003"	"2003"	"Jackson County, MO"	"29095"	"White"	"2106-3"	5838
	"2003"	"2003"	"St. Louis County, MO"	"29189"	"Black or African American"	"2054-5"	3320
	"2003"	"2003"	"St. Louis County, MO"	"29189"	"White"	"2106-3"	7890
	"2003"	"2003"	"St. Louis city, MO"	"29510"	"Black or African American"	"2054-5"	3226
	"2003"	"2003"	"St. Louis city, MO"	"29510"	"White"	"2106-3"	1717
	"2003"	"2003"	"Douglas County, NE"	"31055"	"Black or African American"	"2054-5"	1118
	"2003"	"2003"	"Douglas County, NE"	"31055"	"White"	"2106-3"	5304
	"2003"	"2003"	"Guilford County, NC"	"37081"	"Black or African American"	"2054-5"	2015
	"2003"	"2003"	"Guilford County, NC"	"37081"	"White"	"2106-3"	2879
	"2003"	"2003"	"Mecklenburg County, NC"	"37119"	"Black or African American"	"2054-5"	3702
	"2003"	"2003"	"Mecklenburg County, NC"	"37119"	"White"	"2106-3"	6260
	"2003"	"2003"	"Wake County, NC"	"37183"	"Black or African American"	"2054-5"	2342
	"2003"	"2003"	"Wake County, NC"	"37183"	"White"	"2106-3"	6570
	"2003"	"2003"	"Franklin County, OH"	"39049"	"Black or African American"	"2054-5"	4180
	"2003"	"2003"	"Franklin County, OH"	"39049"	"White"	"2106-3"	10963
	"2003"	"2003"	"Hamilton County, OH"	"39061"	"Black or African American"	"2054-5"	3718
	"2003"	"2003"	"Hamilton County, OH"	"39061"	"White"	"2106-3"	7435
	"2003"	"2003"	"Montgomery County, OH"	"39113"	"Black or African American"	"2054-5"	1826
	"2003"	"2003"	"Montgomery County, OH"	"39113"	"White"	"2106-3"	5139
	"2003"	"2003"	"Oklahoma County, OK"	"40109"	"Black or African American"	"2054-5"	1951
	"2003"	"2003"	"Oklahoma County, OK"	"40109"	"White"	"2106-3"	6524
	"2003"	"2003"	"Tulsa County, OK"	"40143"	"Black or African American"	"2054-5"	1285
	"2003"	"2003"	"Tulsa County, OK"	"40143"	"White"	"2106-3"	5849
	"2003"	"2003"	"Greenville County, SC"	"45045"	"Black or African American"	"2054-5"	1038
	"2003"	"2003"	"Greenville County, SC"	"45045"	"White"	"2106-3"	3753
	"2003"	"2003"	"Davidson County, TN"	"47037"	"Black or African American"	"2054-5"	2686
	"2003"	"2003"	"Davidson County, TN"	"47037"	"White"	"2106-3"	4544
	"2003"	"2003"	"Knox County, TN"	"47093"	"Black or African American"	"2054-5"	536
	"2003"	"2003"	"Knox County, TN"	"47093"	"White"	"2106-3"	4204
	"2003"	"2003"	"Shelby County, TN"	"47157"	"Black or African American"	"2054-5"	8176
	"2003"	"2003"	"Shelby County, TN"	"47157"	"White"	"2106-3"	4599
	"2003"	"2003"	"Richmond city, VA"	"51760"	"Black or African American"	"2054-5"	1856
	"2003"	"2003"	"Richmond city, VA"	"51760"	"White"	"2106-3"	898
	"2004"	"2004"	"Jefferson County, AL"	"01073"	"Black or African American"	"2054-5"	4183
	"2004"	"2004"	"Jefferson County, AL"	"01073"	"White"	"2106-3"	4228
	"2004"	"2004"	"Duval County, FL"	"12031"	"Black or African American"	"2054-5"	4484
	"2004"	"2004"	"Duval County, FL"	"12031"	"White"	"2106-3"	6724
	"2004"	"2004"	"Marion County, IN"	"18097"	"Black or African American"	"2054-5"	4106
	"2004"	"2004"	"Marion County, IN"	"18097"	"White"	"2106-3"	8458
	"2004"	"2004"	"Jefferson County, KY"	"21111"	"Black or African American"	"2054-5"	2402
	"2004"	"2004"	"Jefferson County, KY"	"21111"	"White"	"2106-3"	6595
	"2004"	"2004"	"Kent County, MI"	"26081"	"Black or African American"	"2054-5"	1126
	"2004"	"2004"	"Kent County, MI"	"26081"	"White"	"2106-3"	6653
	"2004"	"2004"	"Jackson County, MO"	"29095"	"Black or African American"	"2054-5"	2752
	"2004"	"2004"	"Jackson County, MO"	"29095"	"White"	"2106-3"	5835
	"2004"	"2004"	"St. Louis County, MO"	"29189"	"Black or African American"	"2054-5"	3369
	"2004"	"2004"	"St. Louis County, MO"	"29189"	"White"	"2106-3"	7734
	"2004"	"2004"	"St. Louis city, MO"	"29510"	"Black or African American"	"2054-5"	3244
	"2004"	"2004"	"St. Louis city, MO"	"29510"	"White"	"2106-3"	1655
	"2004"	"2004"	"Douglas County, NE"	"31055"	"Black or African American"	"2054-5"	1185
	"2004"	"2004"	"Douglas County, NE"	"31055"	"White"	"2106-3"	5481
	"2004"	"2004"	"Guilford County, NC"	"37081"	"Black or African American"	"2054-5"	2122
	"2004"	"2004"	"Guilford County, NC"	"37081"	"White"	"2106-3"	2751
	"2004"	"2004"	"Mecklenburg County, NC"	"37119"	"Black or African American"	"2054-5"	3744
	"2004"	"2004"	"Mecklenburg County, NC"	"37119"	"White"	"2106-3"	6227
	"2004"	"2004"	"Wake County, NC"	"37183"	"Black or African American"	"2054-5"	2436
	"2004"	"2004"	"Wake County, NC"	"37183"	"White"	"2106-3"	6759
	"2004"	"2004"	"Franklin County, OH"	"39049"	"Black or African American"	"2054-5"	4398
	"2004"	"2004"	"Franklin County, OH"	"39049"	"White"	"2106-3"	10730
	"2004"	"2004"	"Hamilton County, OH"	"39061"	"Black or African American"	"2054-5"	3712
