"Notes"	"Year"	"Year Code"	"County"	"County Code"	"Bridged Race"	"Bridged Race Code"	Births
	"2003"	"2003"	"Jefferson County, AL"	"01073"	"Black or African American"	"2054-5"	603
	"2003"	"2003"	"Jefferson County, AL"	"01073"	"White"	"2106-3"	357
	"2003"	"2003"	"Duval County, FL"	"12031"	"Black or African American"	"2054-5"	588
	"2003"	"2003"	"Duval County, FL"	"12031"	"White"	"2106-3"	504
	"2003"	"2003"	"Marion County, IN"	"18097"	"Black or African American"	"2054-5"	505
	"2003"	"2003"	"Marion County, IN"	"18097"	"White"	"2106-3"	681
	"2003"	"2003"	"Jefferson County, KY"	"21111"	"Black or African American"	"2054-5"	329
	"2003"	"2003"	"Jefferson County, KY"	"21111"	"White"	"2106-3"	477
	"2003"	"2003"	"Kent County, MI"	"26081"	"Black or African American"	"2054-5"	145
	"2003"	"2003"	"Kent County, MI"	"26081"	"White"	"2106-3"	420
	"2003"	"2003"	"Jackson County, MO"	"29095"	"Black or African American"	"2054-5"	314
	"2003"	"2003"	"Jackson County, MO"	"29095"	"White"	"2106-3"	449
	"2003"	"2003"	"St. Louis County, MO"	"29189"	"Black or African American"	"2054-5"	430
	"2003"	"2003"	"St. Louis County, MO"	"29189"	"White"	"2106-3"	519
	"2003"	"2003"	"St. Louis city, MO"	"29510"	"Black or African American"	"2054-5"	450
	"2003"	"2003"	"St. Louis city, MO"	"29510"	"White"	"2106-3"	127
	"2003"	"2003"	"Douglas County, NE"	"31055"	"Black or African American"	"2054-5"	133
	"2003"	"2003"	"Douglas County, NE"	"31055"	"White"	"2106-3"	360
	"2003"	"2003"	"Guilford County, NC"	"37081"	"Black or African American"	"2054-5"	286
	"2003"	"2003"	"Guilford County, NC"	"37081"	"White"	"2106-3"	209
	"2003"	"2003"	"Mecklenburg County, NC"	"37119"	"Black or African American"	"2054-5"	496
	"2003"	"2003"	"Mecklenburg County, NC"	"37119"	"White"	"2106-3"	402
	"2003"	"2003"	"Wake County, NC"	"37183"	"Black or African American"	"2054-5"	271
	"2003"	"2003"	"Wake County, NC"	"37183"	"White"	"2106-3"	401
	"2003"	"2003"	"Franklin County, OH"	"39049"	"Black or African American"	"2054-5"	557
	"2003"	"2003"	"Franklin County, OH"	"39049"	"White"	"2106-3"	823
	"2003"	"2003"	"Hamilton County, OH"	"39061"	"Black or African American"	"2054-5"	516
	"2003"	"2003"	"Hamilton County, OH"	"39061"	"White"	"2106-3"	572
	"2003"	"2003"	"Montgomery County, OH"	"39113"	"Black or African American"	"2054-5"	218
	"2003"	"2003"	"Montgomery County, OH"	"39113"	"White"	"2106-3"	396
	"2003"	"2003"	"Oklahoma County, OK"	"40109"	"Black or African American"	"2054-5"	264
	"2003"	"2003"	"Oklahoma County, OK"	"40109"	"White"	"2106-3"	505
	"2003"	"2003"	"Tulsa County, OK"	"40143"	"Black or African American"	"2054-5"	172
	"2003"	"2003"	"Tulsa County, OK"	"40143"	"White"	"2106-3"	432
	"2003"	"2003"	"Greenville County, SC"	"45045"	"Black or African American"	"2054-5"	151
	"2003"	"2003"	"Greenville County, SC"	"45045"	"White"	"2106-3"	300
	"2003"	"2003"	"Davidson County, TN"	"47037"	"Black or African American"	"2054-5"	371
	"2003"	"2003"	"Davidson County, TN"	"47037"	"White"	"2106-3"	363
	"2003"	"2003"	"Knox County, TN"	"47093"	"Black or African American"	"2054-5"	86
	"2003"	"2003"	"Knox County, TN"	"47093"	"White"	"2106-3"	362
	"2003"	"2003"	"Shelby County, TN"	"47157"	"Black or African American"	"2054-5"	1153
	"2003"	"2003"	"Shelby County, TN"	"47157"	"White"	"2106-3"	285
	"2003"	"2003"	"Richmond city, VA"	"51760"	"Black or African American"	"2054-5"	297
	"2003"	"2003"	"Richmond city, VA"	"51760"	"White"	"2106-3"	74
	"2004"	"2004"	"Jefferson County, AL"	"01073"	"Black or African American"	"2054-5"	640
	"2004"	"2004"	"Jefferson County, AL"	"01073"	"White"	"2106-3"	347
	"2004"	"2004"	"Duval County, FL"	"12031"	"Black or African American"	"2054-5"	618
	"2004"	"2004"	"Duval County, FL"	"12031"	"White"	"2106-3"	516
	"2004"	"2004"	"Marion County, IN"	"18097"	"Black or African American"	"2054-5"	538
	"2004"	"2004"	"Marion County, IN"	"18097"	"White"	"2106-3"	741
	"2004"	"2004"	"Jefferson County, KY"	"21111"	"Black or African American"	"2054-5"	332
	"2004"	"2004"	"Jefferson County, KY"	"21111"	"White"	"2106-3"	503
	"2004"	"2004"	"Kent County, MI"	"26081"	"Black or African American"	"2054-5"	167
	"2004"	"2004"	"Kent County, MI"	"26081"	"White"	"2106-3"	466
	"2004"	"2004"	"Jackson County, MO"	"29095"	"Black or African American"	"2054-5"	358
	"2004"	"2004"	"Jackson County, MO"	"29095"	"White"	"2106-3"	437
	"2004"	"2004"	"St. Louis County, MO"	"29189"	"Black or African American"	"2054-5"	471
	"2004"	"2004"	"St. Louis County, MO"	"29189"	"White"	"2106-3"	545
	"2004"	"2004"	"St. Louis city, MO"	"29510"	"Black or African American"	"2054-5"	484
	"2004"	"2004"	"St. Louis city, MO"	"29510"	"White"	"2106-3"	120
	"2004"	"2004"	"Douglas County, NE"	"31055"	"Black or African American"	"2054-5"	153
	"2004"	"2004"	"Douglas County, NE"	"31055"	"White"	"2106-3"	398
	"2004"	"2004"	"Guilford County, NC"	"37081"	"Black or African American"	"2054-5"	282
	"2004"	"2004"	"Guilford County, NC"	"37081"	"White"	"2106-3"	188
