"Notes"	"Year"	"Year Code"	"County"	"County Code"	"Mother's Bridged Race"	"Mother's Bridged Race Code"	Births
	"2007"	"2007"	"Jefferson County, AL"	"01073"	"Black or African American"	"2054-5"	4578
	"2007"	"2007"	"Jefferson County, AL"	"01073"	"White"	"2106-3"	4095
	"2007"	"2007"	"Duval County, FL"	"12031"	"Black or African American"	"2054-5"	4962
	"2007"	"2007"	"Duval County, FL"	"12031"	"White"	"2106-3"	6801
	"2007"	"2007"	"Marion County, IN"	"18097"	"Black or African American"	"2054-5"	4328
	"2007"	"2007"	"Marion County, IN"	"18097"	"White"	"2106-3"	8167
	"2007"	"2007"	"Jefferson County, KY"	"21111"	"Black or African American"	"2054-5"	2721
	"2007"	"2007"	"Jefferson County, KY"	"21111"	"White"	"2106-3"	6812
	"2007"	"2007"	"Kent County, MI"	"26081"	"Black or African American"	"2054-5"	1282
	"2007"	"2007"	"Kent County, MI"	"26081"	"White"	"2106-3"	6527
	"2007"	"2007"	"Jackson County, MO"	"29095"	"Black or African American"	"2054-5"	3104
	"2007"	"2007"	"Jackson County, MO"	"29095"	"White"	"2106-3"	5675
	"2007"	"2007"	"St. Louis County, MO"	"29189"	"Black or African American"	"2054-5"	3809
	"2007"	"2007"	"St. Louis County, MO"	"29189"	"White"	"2106-3"	7056
	"2007"	"2007"	"St. Louis city, MO"	"29510"	"Black or African American"	"2054-5"	3258
	"2007"	"2007"	"St. Louis city, MO"	"29510"	"White"	"2106-3"	1662
	"2007"	"2007"	"Douglas County, NE"	"31055"	"Black or African American"	"2054-5"	1375
	"2007"	"2007"	"Douglas County, NE"	"31055"	"White"	"2106-3"	5325
	"2007"	"2007"	"Guilford County, NC"	"37081"	"Black or African American"	"2054-5"	2325
	"2007"	"2007"	"Guilford County, NC"	"37081"	"White"	"2106-3"	2624
	"2007"	"2007"	"Mecklenburg County, NC"	"37119"	"Black or African American"	"2054-5"	4493
	"2007"	"2007"	"Mecklenburg County, NC"	"37119"	"White"	"2106-3"	6172
