"Notes"	"Year"	"Year Code"	"County"	"County Code"	"Gender"	"Gender Code"	Births
	"2007"	"2007"	"Jefferson County, AL"	"01073"	"Female"	"F"	4800
	"2007"	"2007"	"Jefferson County, AL"	"01073"	"Male"	"M"	4890
	"2007"	"2007"	"Duval County, FL"	"12031"	"Female"	"F"	6746
	"2007"	"2007"	"Duval County, FL"	"12031"	"Male"	"M"	7040
	"2007"	"2007"	"Marion County, IN"	"18097"	"Female"	"F"	7505
	"2007"	"2007"	"Marion County, IN"	"18097"	"Male"	"M"	7892
	"2007"	"2007"	"Jefferson County, KY"	"21111"	"Female"	"F"	5149
	"2007"	"2007"	"Jefferson County, KY"	"21111"	"Male"	"M"	5475
	"2007"	"2007"	"Kent County, MI"	"26081"	"Female"	"F"	4650
	"2007"	"2007"	"Kent County, MI"	"26081"	"Male"	"M"	4894
	"2007"	"2007"	"Jackson County, MO"	"29095"	"Female"	"F"	5208
	"2007"	"2007"	"Jackson County, MO"	"29095"	"Male"	"M"	5430
	"2007"	"2007"	"St. Louis County, MO"	"29189"	"Female"	"F"	5989
	"2007"	"2007"	"St. Louis County, MO"	"29189"	"Male"	"M"	6047
	"2007"	"2007"	"St. Louis city, MO"	"29510"	"Female"	"F"	2667
	"2007"	"2007"	"St. Louis city, MO"	"29510"	"Male"	"M"	2676
	"2007"	"2007"	"Douglas County, NE"	"31055"	"Female"	"F"	4257
	"2007"	"2007"	"Douglas County, NE"	"31055"	"Male"	"M"	4394
	"2007"	"2007"	"Guilford County, NC"	"37081"	"Female"	"F"	3035
	"2007"	"2007"	"Guilford County, NC"	"37081"	"Male"	"M"	3260
	"2007"	"2007"	"Mecklenburg County, NC"	"37119"	"Female"	"F"	7266
	"2007"	"2007"	"Mecklenburg County, NC"	"37119"	"Male"	"M"	7500
	"2007"	"2007"	"Wake County, NC"	"37183"	"Female"	"F"	6524
	"2007"	"2007"	"Wake County, NC"	"37183"	"Male"	"M"	6762
	"2007"	"2007"	"Franklin County, OH"	"39049"	"Female"	"F"	8821
	"2007"	"2007"	"Franklin County, OH"	"39049"	"Male"	"M"	9318
	"2007"	"2007"	"Hamilton County, OH"	"39061"	"Female"	"F"	5839
	"2007"	"2007"	"Hamilton County, OH"	"39061"	"Male"	"M"	5867
	"2007"	"2007"	"Montgomery County, OH"	"39113"	"Female"	"F"	3572
	"2007"	"2007"	"Montgomery County, OH"	"39113"	"Male"	"M"	3669
	"2007"	"2007"	"Oklahoma County, OK"	"40109"	"Female"	"F"	6054
	"2007"	"2007"	"Oklahoma County, OK"	"40109"	"Male"	"M"	6411
	"2007"	"2007"	"Tulsa County, OK"	"40143"	"Female"	"F"	4782
	"2007"	"2007"	"Tulsa County, OK"	"40143"	"Male"	"M"	4995
	"2007"	"2007"	"Greenville County, SC"	"45045"	"Female"	"F"	3179
	"2007"	"2007"	"Greenville County, SC"	"45045"	"Male"	"M"	3417
