"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"1"	75	1072900	7.0
	"1999"	"1999"	"1-4 years"	"1-4"	106	4360301	2.4
	"1999"	"1999"	"5-14 years"	"5-14"	128	11289768	1.1
	"1999"	"1999"	"15-24 years"	"15-24"	1371	10448797	13.1
	"1999"	"1999"	"25-34 years"	"25-34"	1063	11345473	9.4
	"1999"	"1999"	"35-44 years"	"35-44"	787	11967719	6.6
	"1999"	"1999"	"45-54 years"	"45-54"	459	9314981	4.9
	"1999"	"1999"	"55-64 years"	"55-64"	169	5834720	2.9
	"1999"	"1999"	"65-74 years"	"65-74"	121	4356587	2.8
	"1999"	"1999"	"75-84 years"	"75-84"	71	2832230	2.5
	"1999"	"1999"	"85+ years"	"85+"	28	966590	2.9
	"1999"	"1999"	"Not Stated"	"NS"	18	Not Applicable	Not Applicable
	"2000"	"2000"	"< 1 year"	"1"	76	1069336	7.1
	"2000"	"2000"	"1-4 years"	"1-4"	93	4338238	2.1
	"2000"	"2000"	"5-14 years"	"5-14"	93	11390909	0.8
	"2000"	"2000"	"15-24 years"	"15-24"	1425	10657593	13.4
	"2000"	"2000"	"25-34 years"	"25-34"	1153	11266163	10.2
	"2000"	"2000"	"35-44 years"	"35-44"	742	12014850	6.2
	"2000"	"2000"	"45-54 years"	"45-54"	436	9607880	4.5
	"2000"	"2000"	"55-64 years"	"55-64"	187	5969819	3.1
	"2000"	"2000"	"65-74 years"	"65-74"	106	4364779	2.4
	"2000"	"2000"	"75-84 years"	"75-84"	69	2875442	2.4
	"2000"	"2000"	"85+ years"	"85+"	24	990219	2.4
	"2000"	"2000"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"2001"	"2001"	"< 1 year"	"1"	75	1149825	6.5
	"2001"	"2001"	"1-4 years"	"1-4"	104	4286725	2.4
	"2001"	"2001"	"5-14 years"	"5-14"	82	11454063	0.7
	"2001"	"2001"	"15-24 years"	"15-24"	1633	10959654	14.9
	"2001"	"2001"	"25-34 years"	"25-34"	1792	11240443	15.9
	"2001"	"2001"	"35-44 years"	"35-44"	1432	12059085	11.9
