"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"1"	74	1070308	6.9
	"1999"	"1999"	"1-4 years"	"1-4"	105	4349446	2.4
	"1999"	"1999"	"5-14 years"	"5-14"	127	11254958	1.1
	"1999"	"1999"	"15-24 years"	"15-24"	1369	10415652	13.1
	"1999"	"1999"	"25-34 years"	"25-34"	1056	11311592	9.3
	"1999"	"1999"	"35-44 years"	"35-44"	780	11926268	6.5
	"1999"	"1999"	"45-54 years"	"45-54"	458	9275413	4.9
	"1999"	"1999"	"55-64 years"	"55-64"	169	5804718	2.9
	"1999"	"1999"	"65-74 years"	"65-74"	119	4328066	2.7
	"1999"	"1999"	"75-84 years"	"75-84"	70	2813143	2.5
	"1999"	"1999"	"85+ years"	"85+"	28	959316	2.9
	"1999"	"1999"	"Not Stated"	"NS"	18	Not Applicable	Not Applicable
	"2000"	"2000"	"< 1 year"	"1"	76	1066942	7.1
	"2000"	"2000"	"1-4 years"	"1-4"	91	4328617	2.1
	"2000"	"2000"	"5-14 years"	"5-14"	92	11357470	0.8
	"2000"	"2000"	"15-24 years"	"15-24"	1413	10626442	13.3
	"2000"	"2000"	"25-34 years"	"25-34"	1151	11234236	10.2
	"2000"	"2000"	"35-44 years"	"35-44"	743	11975164	6.2
	"2000"	"2000"	"45-54 years"	"45-54"	431	9568377	4.5
	"2000"	"2000"	"55-64 years"	"55-64"	185	5940845	3.1
	"2000"	"2000"	"65-74 years"	"65-74"	105	4336757	2.4
	"2000"	"2000"	"75-84 years"	"75-84"	70	2856542	2.5
	"2000"	"2000"	"85+ years"	"85+"	24	982868	2.4
	"2000"	"2000"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"2001"	"2001"	"< 1 year"	"1"	73	1147551	6.4
	"2001"	"2001"	"1-4 years"	"1-4"	100	4278441	2.3
	"2001"	"2001"	"5-14 years"	"5-14"	79	11423310	0.7
	"2001"	"2001"	"15-24 years"	"15-24"	1616	10928669	14.8
	"2001"	"2001"	"25-34 years"	"25-34"	1785	11211609	15.9
	"2001"	"2001"	"35-44 years"	"35-44"	1420	12021857	11.8
	"2001"	"2001"	"45-54 years"	"45-54"	823	10003076	8.2
	"2001"	"2001"	"55-64 years"	"55-64"	335	6167667	5.4
	"2001"	"2001"	"65-74 years"	"65-74"	132	4350795	3.0
	"2001"	"2001"	"75-84 years"	"75-84"	79	2928851	2.7
	"2001"	"2001"	"85+ years"	"85+"	18	1001316	Unreliable
	"2001"	"2001"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"2002"	"2002"	"< 1 year"	"1"	82	1132021	7.2
	"2002"	"2002"	"1-4 years"	"1-4"	101	4328857	2.3
	"2002"	"2002"	"5-14 years"	"5-14"	97	11432555	0.8
	"2002"	"2002"	"15-24 years"	"15-24"	1527	11125340	13.7
	"2002"	"2002"	"25-34 years"	"25-34"	1273	11209174	11.4
	"2002"	"2002"	"35-44 years"	"35-44"	877	11963831	7.3
	"2002"	"2002"	"45-54 years"	"45-54"	482	10180130	4.7
	"2002"	"2002"	"55-64 years"	"55-64"	219	6555134	3.3
