"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"1"	76	1074653	7.1
	"1999"	"1999"	"1-4 years"	"1-4"	107	4364538	2.5
	"1999"	"1999"	"5-14 years"	"5-14"	129	11287036	1.1
	"1999"	"1999"	"15-24 years"	"15-24"	1406	10450336	13.5
	"1999"	"1999"	"25-34 years"	"25-34"	1084	11368192	9.5
	"1999"	"1999"	"35-44 years"	"35-44"	800	11975059	6.7
	"1999"	"1999"	"45-54 years"	"45-54"	465	9311446	5.0
	"1999"	"1999"	"55-64 years"	"55-64"	170	5829832	2.9
	"1999"	"1999"	"65-74 years"	"65-74"	119	4348152	2.7
	"1999"	"1999"	"75-84 years"	"75-84"	71	2825311	2.5
	"1999"	"1999"	"85+ years"	"85+"	28	963055	2.9
	"1999"	"1999"	"Not Stated"	"NS"	18	Not Applicable	Not Applicable
	"2000"	"2000"	"< 1 year"	"1"	77	1071199	7.2
	"2000"	"2000"	"1-4 years"	"1-4"	91	4343467	2.1
	"2000"	"2000"	"5-14 years"	"5-14"	97	11389872	0.9
	"2000"	"2000"	"15-24 years"	"15-24"	1444	10660041	13.5
	"2000"	"2000"	"25-34 years"	"25-34"	1178	11290081	10.4
	"2000"	"2000"	"35-44 years"	"35-44"	751	12023481	6.2
	"2000"	"2000"	"45-54 years"	"45-54"	437	9604700	4.5
	"2000"	"2000"	"55-64 years"	"55-64"	193	5965462	3.2
	"2000"	"2000"	"65-74 years"	"65-74"	107	4356625	2.5
	"2000"	"2000"	"75-84 years"	"75-84"	70	2868853	2.4
	"2000"	"2000"	"85+ years"	"85+"	24	986598	2.4
	"2000"	"2000"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"2001"	"2001"	"< 1 year"	"1"	75	1152413	6.5
	"2001"	"2001"	"1-4 years"	"1-4"	102	4293027	2.4
	"2001"	"2001"	"5-14 years"	"5-14"	78	11455338	0.7
	"2001"	"2001"	"15-24 years"	"15-24"	1649	10961393	15.0
	"2001"	"2001"	"25-34 years"	"25-34"	1815	11266856	16.1
	"2001"	"2001"	"35-44 years"	"35-44"	1443	12069544	12.0
	"2001"	"2001"	"45-54 years"	"45-54"	831	10040875	8.3
	"2001"	"2001"	"55-64 years"	"55-64"	336	6192217	5.4
	"2001"	"2001"	"65-74 years"	"65-74"	136	4370169	3.1
	"2001"	"2001"	"75-84 years"	"75-84"	80	2940834	2.7
	"2001"	"2001"	"85+ years"	"85+"	22	1004914	2.2
	"2001"	"2001"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"2002"	"2002"	"< 1 year"	"1"	83	1136993	7.3
	"2002"	"2002"	"1-4 years"	"1-4"	106	4343805	2.4
	"2002"	"2002"	"5-14 years"	"5-14"	100	11463691	0.9
	"2002"	"2002"	"15-24 years"	"15-24"	1557	11157634	14.0
	"2002"	"2002"	"25-34 years"	"25-34"	1304	11263530	11.6
	"2002"	"2002"	"35-44 years"	"35-44"	887	12010252	7.4
	"2002"	"2002"	"45-54 years"	"45-54"	495	10217959	4.8
	"2002"	"2002"	"55-64 years"	"55-64"	223	6580165	3.4
	"2002"	"2002"	"65-74 years"	"65-74"	86	4383908	2.0
	"2002"	"2002"	"75-84 years"	"75-84"	73	2989865	2.4
	"2002"	"2002"	"85+ years"	"85+"	20	1018376	2.0
	"2002"	"2002"	"Not Stated"	"NS"	14	Not Applicable	Not Applicable
	"2003"	"2003"	"< 1 year"	"1"	92	1147664	8.0
	"2003"	"2003"	"1-4 years"	"1-4"	110	4393448	2.5
