"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"1"	77	1078222	7.1
	"1999"	"1999"	"1-4 years"	"1-4"	108	4385598	2.5
	"1999"	"1999"	"5-14 years"	"5-14"	136	11364703	1.2
	"1999"	"1999"	"15-24 years"	"15-24"	1418	10510133	13.5
	"1999"	"1999"	"25-34 years"	"25-34"	1094	11411099	9.6
	"1999"	"1999"	"35-44 years"	"35-44"	813	12054039	6.7
	"1999"	"1999"	"45-54 years"	"45-54"	465	9387962	5.0
	"1999"	"1999"	"55-64 years"	"55-64"	173	5881910	2.9
	"1999"	"1999"	"65-74 years"	"65-74"	119	4395264	2.7
	"1999"	"1999"	"75-84 years"	"75-84"	72	2860217	2.5
	"1999"	"1999"	"85+ years"	"85+"	28	977198	2.9
	"1999"	"1999"	"Not Stated"	"NS"	18	Not Applicable	Not Applicable
	"2000"	"2000"	"< 1 year"	"1"	78	1074577	7.3
	"2000"	"2000"	"1-4 years"	"1-4"	90	4363777	2.1
	"2000"	"2000"	"5-14 years"	"5-14"	92	11465624	0.8
	"2000"	"2000"	"15-24 years"	"15-24"	1475	10719606	13.8
	"2000"	"2000"	"25-34 years"	"25-34"	1190	11331350	10.5
	"2000"	"2000"	"35-44 years"	"35-44"	766	12101069	6.3
	"2000"	"2000"	"45-54 years"	"45-54"	436	9682862	4.5
	"2000"	"2000"	"55-64 years"	"55-64"	189	6017918	3.1
	"2000"	"2000"	"65-74 years"	"65-74"	106	4403187	2.4
	"2000"	"2000"	"75-84 years"	"75-84"	73	2903638	2.5
	"2000"	"2000"	"85+ years"	"85+"	24	1000821	2.4
	"2000"	"2000"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"2001"	"2001"	"< 1 year"	"1"	79	1155828	6.8
	"2001"	"2001"	"1-4 years"	"1-4"	99	4311098	2.3
	"2001"	"2001"	"5-14 years"	"5-14"	85	11527961	0.7
	"2001"	"2001"	"15-24 years"	"15-24"	1682	11020981	15.3
	"2001"	"2001"	"25-34 years"	"25-34"	1821	11306050	16.1
	"2001"	"2001"	"35-44 years"	"35-44"	1458	12143581	12.0
	"2001"	"2001"	"45-54 years"	"45-54"	830	10120629	8.2
	"2001"	"2001"	"55-64 years"	"55-64"	343	6245234	5.5
	"2001"	"2001"	"65-74 years"	"65-74"	134	4415157	3.0
	"2001"	"2001"	"75-84 years"	"75-84"	81	2975818	2.7
	"2001"	"2001"	"85+ years"	"85+"	19	1019067	Unreliable
	"2001"	"2001"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"2002"	"2002"	"< 1 year"	"1"	82	1140033	7.2
	"2002"	"2002"	"1-4 years"	"1-4"	101	4360534	2.3
	"2002"	"2002"	"5-14 years"	"5-14"	98	11534548	0.8
	"2002"	"2002"	"15-24 years"	"15-24"	1581	11217082	14.1
	"2002"	"2002"	"25-34 years"	"25-34"	1321	11302113	11.7
	"2002"	"2002"	"35-44 years"	"35-44"	910	12080684	7.5
	"2002"	"2002"	"45-54 years"	"45-54"	491	10297216	4.8
	"2002"	"2002"	"55-64 years"	"55-64"	222	6635862	3.3
	"2002"	"2002"	"65-74 years"	"65-74"	87	4427078	2.0
	"2002"	"2002"	"75-84 years"	"75-84"	73	3025092	2.4
	"2002"	"2002"	"85+ years"	"85+"	22	1032542	2.1
	"2002"	"2002"	"Not Stated"	"NS"	14	Not Applicable	Not Applicable
	"2003"	"2003"	"< 1 year"	"1"	91	1150445	7.9
	"2003"	"2003"	"1-4 years"	"1-4"	112	4408435	2.5
	"2003"	"2003"	"5-14 years"	"5-14"	99	11503713	0.9
	"2003"	"2003"	"15-24 years"	"15-24"	1678	11383008	14.7
	"2003"	"2003"	"25-34 years"	"25-34"	1331	11278904	11.8
	"2003"	"2003"	"35-44 years"	"35-44"	863	12010767	7.2
	"2003"	"2003"	"45-54 years"	"45-54"	500	10531312	4.7
	"2003"	"2003"	"55-64 years"	"55-64"	200	6958573	2.9
	"2003"	"2003"	"65-74 years"	"65-74"	120	4462281	2.7
	"2003"	"2003"	"75-84 years"	"75-84"	71	3061545	2.3
	"2003"	"2003"	"85+ years"	"85+"	26	1057617	2.5
	"2003"	"2003"	"Not Stated"	"NS"	10	Not Applicable	Not Applicable
	"2004"	"2004"	"< 1 year"	"1"	73	1150903	6.3
	"2004"	"2004"	"1-4 years"	"1-4"	80	4466700	1.8
	"2004"	"2004"	"5-14 years"	"5-14"	91	11425588	0.8
	"2004"	"2004"	"15-24 years"	"15-24"	1631	11540799	14.1
	"2004"	"2004"	"25-34 years"	"25-34"	1294	11263809	11.5
	"2004"	"2004"	"35-44 years"	"35-44"	779	11953003	6.5
	"2004"	"2004"	"45-54 years"	"45-54"	534	10743209	5.0
	"2004"	"2004"	"55-64 years"	"55-64"	236	7270930	3.2
	"2004"	"2004"	"65-74 years"	"65-74"	98	4500084	2.2
	"2004"	"2004"	"75-84 years"	"75-84"	66	3089004	2.1
	"2004"	"2004"	"85+ years"	"85+"	31	1074938	2.9
	"2004"	"2004"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2005"	"2005"	"< 1 year"	"1"	64	1146575	5.6
	"2005"	"2005"	"1-4 years"	"1-4"	108	4499133	2.4
	"2005"	"2005"	"5-14 years"	"5-14"	86	11299705	0.8
	"2005"	"2005"	"15-24 years"	"15-24"	1664	11687028	14.2
	"2005"	"2005"	"25-34 years"	"25-34"	1361	11224427	12.1
	"2005"	"2005"	"35-44 years"	"35-44"	871	11881337	7.3
	"2005"	"2005"	"45-54 years"	"45-54"	547	10964381	5.0
	"2005"	"2005"	"55-64 years"	"55-64"	212	7592030	2.8
	"2005"	"2005"	"65-74 years"	"65-74"	101	4540665	2.2
	"2005"	"2005"	"75-84 years"	"75-84"	65	3114559	2.1
	"2005"	"2005"	"85+ years"	"85+"	21	1117890	1.9
	"2005"	"2005"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2006"	"2006"	"< 1 year"	"1"	81	1151528	7.0
	"2006"	"2006"	"1-4 years"	"1-4"	105	4492875	2.3
	"2006"	"2006"	"5-14 years"	"5-14"	113	11282178	1.0
	"2006"	"2006"	"15-24 years"	"15-24"	1758	11825146	14.9
	"2006"	"2006"	"25-34 years"	"25-34"	1332	11263774	11.8
	"2006"	"2006"	"35-44 years"	"35-44"	787	11828001	6.7
	"2006"	"2006"	"45-54 years"	"45-54"	593	11181588	5.3
	"2006"	"2006"	"55-64 years"	"55-64"	263	7907570	3.3
	"2006"	"2006"	"65-74 years"	"65-74"	96	4599662	2.1
	"2006"	"2006"	"75-84 years"	"75-84"	63	3116600	2.0
	"2006"	"2006"	"85+ years"	"85+"	27	1158672	2.3
	"2006"	"2006"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2007"	"2007"	"< 1 year"	"1"	74	1171114	6.3
	"2007"	"2007"	"1-4 years"	"1-4"	97	4504273	2.2
	"2007"	"2007"	"5-14 years"	"5-14"	84	11241290	0.7
	"2007"	"2007"	"15-24 years"	"15-24"	1619	11951017	13.5
	"2007"	"2007"	"25-34 years"	"25-34"	1272	11343846	11.2
	"2007"	"2007"	"35-44 years"	"35-44"	833	11717625	7.1
	"2007"	"2007"	"45-54 years"	"45-54"	515	11368793	4.5
	"2007"	"2007"	"55-64 years"	"55-64"	230	8200347	2.8
	"2007"	"2007"	"65-74 years"	"65-74"	96	4713240	2.0
	"2007"	"2007"	"75-84 years"	"75-84"	49	3116191	1.6
	"2007"	"2007"	"85+ years"	"85+"	17	1204241	Unreliable
	"2007"	"2007"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2008"	"2008"	"< 1 year"	"1"	75	1177017	6.4
	"2008"	"2008"	"1-4 years"	"1-4"	112	4541247	2.5
	"2008"	"2008"	"5-14 years"	"5-14"	100	11275053	0.9
	"2008"	"2008"	"15-24 years"	"15-24"	1508	12070594	12.5
	"2008"	"2008"	"25-34 years"	"25-34"	1279	11496039	11.1
	"2008"	"2008"	"35-44 years"	"35-44"	774	11601731	6.7
	"2008"	"2008"	"45-54 years"	"45-54"	535	11538733	4.6
	"2008"	"2008"	"55-64 years"	"55-64"	279	8479184	3.3
	"2008"	"2008"	"65-74 years"	"65-74"	117	4901284	2.4
