"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"1"	73	1066497	6.8
	"1999"	"1999"	"1-4 years"	"1-4"	105	4334225	2.4
	"1999"	"1999"	"5-14 years"	"5-14"	127	11216879	1.1
	"1999"	"1999"	"15-24 years"	"15-24"	1372	10381389	13.2
	"1999"	"1999"	"25-34 years"	"25-34"	1057	11282123	9.4
	"1999"	"1999"	"35-44 years"	"35-44"	786	11894257	6.6
	"1999"	"1999"	"45-54 years"	"45-54"	455	9256070	4.9
	"1999"	"1999"	"55-64 years"	"55-64"	169	5798386	2.9
	"1999"	"1999"	"65-74 years"	"65-74"	119	4321491	2.8
	"1999"	"1999"	"75-84 years"	"75-84"	70	2807186	2.5
	"1999"	"1999"	"85+ years"	"85+"	28	956497	2.9
	"1999"	"1999"	"Not Stated"	"NS"	18	Not Applicable	Not Applicable
	"2000"	"2000"	"< 1 year"	"1"	76	1063082	7.1
	"2000"	"2000"	"1-4 years"	"1-4"	89	4313599	2.1
	"2000"	"2000"	"5-14 years"	"5-14"	92	11319105	0.8
	"2000"	"2000"	"15-24 years"	"15-24"	1418	10591081	13.4
	"2000"	"2000"	"25-34 years"	"25-34"	1150	11205369	10.3
	"2000"	"2000"	"35-44 years"	"35-44"	745	11943520	6.2
	"2000"	"2000"	"45-54 years"	"45-54"	432	9547934	4.5
	"2000"	"2000"	"55-64 years"	"55-64"	190	5934736	3.2
	"2000"	"2000"	"65-74 years"	"65-74"	104	4330303	2.4
	"2000"	"2000"	"75-84 years"	"75-84"	70	2850718	2.5
	"2000"	"2000"	"85+ years"	"85+"	25	980094	2.6
	"2000"	"2000"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"2001"	"2001"	"< 1 year"	"1"	74	1143387	6.5
	"2001"	"2001"	"1-4 years"	"1-4"	99	4263491	2.3
	"2001"	"2001"	"5-14 years"	"5-14"	80	11385730	0.7
	"2001"	"2001"	"15-24 years"	"15-24"	1613	10891722	14.8
	"2001"	"2001"	"25-34 years"	"25-34"	1793	11183436	16.0
	"2001"	"2001"	"35-44 years"	"35-44"	1425	11991272	11.9
	"2001"	"2001"	"45-54 years"	"45-54"	826	9980915	8.3
	"2001"	"2001"	"55-64 years"	"55-64"	339	6161370	5.5
	"2001"	"2001"	"65-74 years"	"65-74"	136	4345035	3.1
	"2001"	"2001"	"75-84 years"	"75-84"	79	2922894	2.7
	"2001"	"2001"	"85+ years"	"85+"	18	998446	Unreliable
