"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"1"	74	1070670	6.9
	"1999"	"1999"	"1-4 years"	"1-4"	106	4351529	2.4
	"1999"	"1999"	"5-14 years"	"5-14"	130	11258853	1.2
	"1999"	"1999"	"15-24 years"	"15-24"	1382	10420167	13.3
	"1999"	"1999"	"25-34 years"	"25-34"	1063	11324249	9.4
	"1999"	"1999"	"35-44 years"	"35-44"	785	11946599	6.6
	"1999"	"1999"	"45-54 years"	"45-54"	459	9300193	4.9
	"1999"	"1999"	"55-64 years"	"55-64"	170	5824913	2.9
	"1999"	"1999"	"65-74 years"	"65-74"	119	4347916	2.7
	"1999"	"1999"	"75-84 years"	"75-84"	71	2824498	2.5
	"1999"	"1999"	"85+ years"	"85+"	28	962441	2.9
	"1999"	"1999"	"Not Stated"	"NS"	18	Not Applicable	Not Applicable
	"2000"	"2000"	"< 1 year"	"1"	76	1067213	7.1
	"2000"	"2000"	"1-4 years"	"1-4"	92	4330413	2.1
	"2000"	"2000"	"5-14 years"	"5-14"	95	11360763	0.8
	"2000"	"2000"	"15-24 years"	"15-24"	1430	10628752	13.5
	"2000"	"2000"	"25-34 years"	"25-34"	1157	11246541	10.3
	"2000"	"2000"	"35-44 years"	"35-44"	751	11994977	6.3
	"2000"	"2000"	"45-54 years"	"45-54"	435	9593566	4.5
	"2000"	"2000"	"55-64 years"	"55-64"	185	5960780	3.1
	"2000"	"2000"	"65-74 years"	"65-74"	107	4356444	2.5
	"2000"	"2000"	"75-84 years"	"75-84"	71	2868142	2.5
	"2000"	"2000"	"85+ years"	"85+"	24	985938	2.4
	"2000"	"2000"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"2001"	"2001"	"< 1 year"	"1"	73	1147948	6.4
	"2001"	"2001"	"1-4 years"	"1-4"	102	4279724	2.4
	"2001"	"2001"	"5-14 years"	"5-14"	78	11426660	0.7
	"2001"	"2001"	"15-24 years"	"15-24"	1621	10929848	14.8
	"2001"	"2001"	"25-34 years"	"25-34"	1793	11223598	16.0
	"2001"	"2001"	"35-44 years"	"35-44"	1424	12040709	11.8
	"2001"	"2001"	"45-54 years"	"45-54"	829	10028702	8.3
	"2001"	"2001"	"55-64 years"	"55-64"	337	6187192	5.4
	"2001"	"2001"	"65-74 years"	"65-74"	133	4370007	3.0
	"2001"	"2001"	"75-84 years"	"75-84"	81	2940411	2.8
	"2001"	"2001"	"85+ years"	"85+"	18	1004278	Unreliable
	"2001"	"2001"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"2002"	"2002"	"< 1 year"	"1"	84	1132637	7.4
	"2002"	"2002"	"1-4 years"	"1-4"	102	4329883	2.4
	"2002"	"2002"	"5-14 years"	"5-14"	97	11436280	0.8
	"2002"	"2002"	"15-24 years"	"15-24"	1534	11126258	13.8
	"2002"	"2002"	"25-34 years"	"25-34"	1291	11221354	11.5
	"2002"	"2002"	"35-44 years"	"35-44"	884	11981791	7.4
	"2002"	"2002"	"45-54 years"	"45-54"	490	10204838	4.8
	"2002"	"2002"	"55-64 years"	"55-64"	218	6575635	3.3
	"2002"	"2002"	"65-74 years"	"65-74"	86	4383541	2.0
	"2002"	"2002"	"75-84 years"	"75-84"	71	2989782	2.4
	"2002"	"2002"	"85+ years"	"85+"	20	1017779	2.0
	"2002"	"2002"	"Not Stated"	"NS"	14	Not Applicable	Not Applicable
	"2003"	"2003"	"< 1 year"	"1"	90	1143223	7.9
	"2003"	"2003"	"1-4 years"	"1-4"	108	4379307	2.5
	"2003"	"2003"	"5-14 years"	"5-14"	98	11408437	0.9
	"2003"	"2003"	"15-24 years"	"15-24"	1656	11291427	14.7
	"2003"	"2003"	"25-34 years"	"25-34"	1307	11199848	11.7
	"2003"	"2003"	"35-44 years"	"35-44"	847	11916407	7.1
	"2003"	"2003"	"45-54 years"	"45-54"	486	10438408	4.7
	"2003"	"2003"	"55-64 years"	"55-64"	201	6897394	2.9
	"2003"	"2003"	"65-74 years"	"65-74"	121	4420066	2.7
	"2003"	"2003"	"75-84 years"	"75-84"	72	3026533	2.4
	"2003"	"2003"	"85+ years"	"85+"	26	1042949	2.5
	"2003"	"2003"	"Not Stated"	"NS"	10	Not Applicable	Not Applicable
	"2004"	"2004"	"< 1 year"	"1"	72	1143631	6.3
	"2004"	"2004"	"1-4 years"	"1-4"	81	4438077	1.8
	"2004"	"2004"	"5-14 years"	"5-14"	87	11333998	0.8
	"2004"	"2004"	"15-24 years"	"15-24"	1605	11448974	14.0
	"2004"	"2004"	"25-34 years"	"25-34"	1265	11187072	11.3
	"2004"	"2004"	"35-44 years"	"35-44"	764	11863460	6.4
	"2004"	"2004"	"45-54 years"	"45-54"	527	10649804	4.9
	"2004"	"2004"	"55-64 years"	"55-64"	231	7208316	3.2
	"2004"	"2004"	"65-74 years"	"65-74"	97	4458848	2.2
	"2004"	"2004"	"75-84 years"	"75-84"	65	3054306	2.1
	"2004"	"2004"	"85+ years"	"85+"	31	1060508	2.9
	"2004"	"2004"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2005"	"2005"	"< 1 year"	"1"	62	1139900	5.4
	"2005"	"2005"	"1-4 years"	"1-4"	107	4470536	2.4
	"2005"	"2005"	"5-14 years"	"5-14"	83	11212652	0.7
	"2005"	"2005"	"15-24 years"	"15-24"	1640	11595145	14.1
	"2005"	"2005"	"25-34 years"	"25-34"	1332	11150526	11.9
	"2005"	"2005"	"35-44 years"	"35-44"	850	11795974	7.2
	"2005"	"2005"	"45-54 years"	"45-54"	534	10870827	4.9
	"2005"	"2005"	"55-64 years"	"55-64"	203	7528431	2.7
	"2005"	"2005"	"65-74 years"	"65-74"	102	4500564	2.3
	"2005"	"2005"	"75-84 years"	"75-84"	65	3080512	2.1
	"2005"	"2005"	"85+ years"	"85+"	22	1103627	2.0
	"2005"	"2005"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2006"	"2006"	"< 1 year"	"1"	79	1144647	6.9
	"2006"	"2006"	"1-4 years"	"1-4"	106	4465493	2.4
	"2006"	"2006"	"5-14 years"	"5-14"	113	11198815	1.0
	"2006"	"2006"	"15-24 years"	"15-24"	1715	11732698	14.6
	"2006"	"2006"	"25-34 years"	"25-34"	1296	11191518	11.6
	"2006"	"2006"	"35-44 years"	"35-44"	765	11747212	6.5
	"2006"	"2006"	"45-54 years"	"45-54"	582	11088687	5.2
	"2006"	"2006"	"55-64 years"	"55-64"	257	7842798	3.3
	"2006"	"2006"	"65-74 years"	"65-74"	94	4560537	2.1
	"2006"	"2006"	"75-84 years"	"75-84"	60	3083784	1.9
	"2006"	"2006"	"85+ years"	"85+"	27	1144373	2.4
	"2006"	"2006"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2007"	"2007"	"< 1 year"	"1"	73	1164410	6.3
	"2007"	"2007"	"1-4 years"	"1-4"	92	4477639	2.1
	"2007"	"2007"	"5-14 years"	"5-14"	79	11161913	0.7
	"2007"	"2007"	"15-24 years"	"15-24"	1568	11861143	13.2
	"2007"	"2007"	"25-34 years"	"25-34"	1265	11272271	11.2
	"2007"	"2007"	"35-44 years"	"35-44"	810	11641667	7.0
	"2007"	"2007"	"45-54 years"	"45-54"	507	11276327	4.5
	"2007"	"2007"	"55-64 years"	"55-64"	230	8134298	2.8
	"2007"	"2007"	"65-74 years"	"65-74"	98	4673992	2.1
	"2007"	"2007"	"75-84 years"	"75-84"	47	3084270	1.5
	"2007"	"2007"	"85+ years"	"85+"	16	1189739	Unreliable
	"2007"	"2007"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2008"	"2008"	"< 1 year"	"1"	73	1170789	6.2
	"2008"	"2008"	"1-4 years"	"1-4"	111	4515226	2.5
