"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"1"	75	1074720	7.0
	"1999"	"1999"	"1-4 years"	"1-4"	107	4369072	2.4
	"1999"	"1999"	"5-14 years"	"5-14"	129	11307723	1.1
	"1999"	"1999"	"15-24 years"	"15-24"	1405	10458248	13.4
	"1999"	"1999"	"25-34 years"	"25-34"	1092	11361905	9.6
	"1999"	"1999"	"35-44 years"	"35-44"	806	11977673	6.7
	"1999"	"1999"	"45-54 years"	"45-54"	466	9322355	5.0
	"1999"	"1999"	"55-64 years"	"55-64"	174	5831758	3.0
	"1999"	"1999"	"65-74 years"	"65-74"	119	4345676	2.7
	"1999"	"1999"	"75-84 years"	"75-84"	73	2822799	2.6
	"1999"	"1999"	"85+ years"	"85+"	28	962046	2.9
	"1999"	"1999"	"Not Stated"	"NS"	19	Not Applicable	Not Applicable
	"2000"	"2000"	"< 1 year"	"1"	78	1071207	7.3
	"2000"	"2000"	"1-4 years"	"1-4"	92	4348246	2.1
	"2000"	"2000"	"5-14 years"	"5-14"	98	11410722	0.9
	"2000"	"2000"	"15-24 years"	"15-24"	1466	10667426	13.7
	"2000"	"2000"	"25-34 years"	"25-34"	1184	11283684	10.5
	"2000"	"2000"	"35-44 years"	"35-44"	761	12025544	6.3
	"2000"	"2000"	"45-54 years"	"45-54"	451	9616505	4.7
	"2000"	"2000"	"55-64 years"	"55-64"	190	5967940	3.2
	"2000"	"2000"	"65-74 years"	"65-74"	105	4354387	2.4
	"2000"	"2000"	"75-84 years"	"75-84"	71	2866267	2.5
	"2000"	"2000"	"85+ years"	"85+"	24	985469	2.4
	"2000"	"2000"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"2001"	"2001"	"< 1 year"	"1"	74	1152376	6.4
	"2001"	"2001"	"1-4 years"	"1-4"	105	4296719	2.4
	"2001"	"2001"	"5-14 years"	"5-14"	80	11475950	0.7
	"2001"	"2001"	"15-24 years"	"15-24"	1654	10969001	15.1
	"2001"	"2001"	"25-34 years"	"25-34"	1831	11258484	16.3
	"2001"	"2001"	"35-44 years"	"35-44"	1451	12070663	12.0
	"2001"	"2001"	"45-54 years"	"45-54"	836	10052405	8.3
	"2001"	"2001"	"55-64 years"	"55-64"	339	6195273	5.5
	"2001"	"2001"	"65-74 years"	"65-74"	135	4368189	3.1
	"2001"	"2001"	"75-84 years"	"75-84"	81	2938546	2.8
	"2001"	"2001"	"85+ years"	"85+"	18	1003657	Unreliable
