"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"1"	75	1071290	7.0
	"1999"	"1999"	"1-4 years"	"1-4"	106	4352033	2.4
	"1999"	"1999"	"5-14 years"	"5-14"	127	11257129	1.1
	"1999"	"1999"	"15-24 years"	"15-24"	1390	10430369	13.3
	"1999"	"1999"	"25-34 years"	"25-34"	1059	11322046	9.4
	"1999"	"1999"	"35-44 years"	"35-44"	785	11935057	6.6
	"1999"	"1999"	"45-54 years"	"45-54"	461	9289055	5.0
	"1999"	"1999"	"55-64 years"	"55-64"	174	5818949	3.0
	"1999"	"1999"	"65-74 years"	"65-74"	120	4340382	2.8
	"1999"	"1999"	"75-84 years"	"75-84"	71	2819827	2.5
	"1999"	"1999"	"85+ years"	"85+"	29	961194	3.0
	"1999"	"1999"	"Not Stated"	"NS"	18	Not Applicable	Not Applicable
	"2000"	"2000"	"< 1 year"	"1"	76	1067822	7.1
	"2000"	"2000"	"1-4 years"	"1-4"	90	4331431	2.1
	"2000"	"2000"	"5-14 years"	"5-14"	92	11358474	0.8
	"2000"	"2000"	"15-24 years"	"15-24"	1421	10640102	13.4
	"2000"	"2000"	"25-34 years"	"25-34"	1165	11245122	10.4
	"2000"	"2000"	"35-44 years"	"35-44"	748	11983099	6.2
	"2000"	"2000"	"45-54 years"	"45-54"	435	9581987	4.5
	"2000"	"2000"	"55-64 years"	"55-64"	187	5955078	3.1
	"2000"	"2000"	"65-74 years"	"65-74"	105	4349145	2.4
	"2000"	"2000"	"75-84 years"	"75-84"	71	2863456	2.5
	"2000"	"2000"	"85+ years"	"85+"	24	984657	2.4
	"2000"	"2000"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"2001"	"2001"	"< 1 year"	"1"	74	1148837	6.4
	"2001"	"2001"	"1-4 years"	"1-4"	101	4281099	2.4
	"2001"	"2001"	"5-14 years"	"5-14"	79	11423562	0.7
	"2001"	"2001"	"15-24 years"	"15-24"	1624	10941003	14.8
	"2001"	"2001"	"25-34 years"	"25-34"	1792	11223005	16.0
	"2001"	"2001"	"35-44 years"	"35-44"	1426	12029082	11.9
	"2001"	"2001"	"45-54 years"	"45-54"	831	10016873	8.3
	"2001"	"2001"	"55-64 years"	"55-64"	339	6182072	5.5
	"2001"	"2001"	"65-74 years"	"65-74"	133	4362818	3.0
	"2001"	"2001"	"75-84 years"	"75-84"	80	2935573	2.7
	"2001"	"2001"	"85+ years"	"85+"	19	1002830	Unreliable
	"2001"	"2001"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"2002"	"2002"	"< 1 year"	"1"	83	1134028	7.3
	"2002"	"2002"	"1-4 years"	"1-4"	104	4332083	2.4
	"2002"	"2002"	"5-14 years"	"5-14"	97	11433393	0.8
	"2002"	"2002"	"15-24 years"	"15-24"	1541	11137355	13.8
	"2002"	"2002"	"25-34 years"	"25-34"	1277	11222213	11.4
	"2002"	"2002"	"35-44 years"	"35-44"	881	11970967	7.4
	"2002"	"2002"	"45-54 years"	"45-54"	487	10193038	4.8
	"2002"	"2002"	"55-64 years"	"55-64"	221	6570276	3.4
	"2002"	"2002"	"65-74 years"	"65-74"	86	4376761	2.0
	"2002"	"2002"	"75-84 years"	"75-84"	72	2984661	2.4
	"2002"	"2002"	"85+ years"	"85+"	20	1016313	2.0
	"2002"	"2002"	"Not Stated"	"NS"	14	Not Applicable	Not Applicable
	"2003"	"2003"	"< 1 year"	"1"	93	1144893	8.1
	"2003"	"2003"	"1-4 years"	"1-4"	109	4381869	2.5
	"2003"	"2003"	"5-14 years"	"5-14"	97	11405219	0.9
	"2003"	"2003"	"15-24 years"	"15-24"	1658	11302487	14.7
	"2003"	"2003"	"25-34 years"	"25-34"	1309	11200594	11.7
	"2003"	"2003"	"35-44 years"	"35-44"	847	11905685	7.1
	"2003"	"2003"	"45-54 years"	"45-54"	491	10426308	4.7
	"2003"	"2003"	"55-64 years"	"55-64"	201	6891396	2.9
	"2003"	"2003"	"65-74 years"	"65-74"	120	4413624	2.7
	"2003"	"2003"	"75-84 years"	"75-84"	71	3021157	2.4
	"2003"	"2003"	"85+ years"	"85+"	26	1041368	2.5
	"2003"	"2003"	"Not Stated"	"NS"	10	Not Applicable	Not Applicable
	"2004"	"2004"	"< 1 year"	"1"	73	1144998	6.4
	"2004"	"2004"	"1-4 years"	"1-4"	82	4441388	1.8
	"2004"	"2004"	"5-14 years"	"5-14"	89	11330685	0.8
	"2004"	"2004"	"15-24 years"	"15-24"	1594	11459721	13.9
	"2004"	"2004"	"25-34 years"	"25-34"	1264	11188113	11.3
	"2004"	"2004"	"35-44 years"	"35-44"	766	11852682	6.5
	"2004"	"2004"	"45-54 years"	"45-54"	522	10637731	4.9
	"2004"	"2004"	"55-64 years"	"55-64"	235	7201734	3.3
	"2004"	"2004"	"65-74 years"	"65-74"	98	4452970	2.2
	"2004"	"2004"	"75-84 years"	"75-84"	64	3049050	2.1
	"2004"	"2004"	"85+ years"	"85+"	31	1058836	2.9
	"2004"	"2004"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2005"	"2005"	"< 1 year"	"1"	62	1141526	5.4
	"2005"	"2005"	"1-4 years"	"1-4"	108	4474981	2.4
	"2005"	"2005"	"5-14 years"	"5-14"	84	11209568	0.7
	"2005"	"2005"	"15-24 years"	"15-24"	1629	11605936	14.0
	"2005"	"2005"	"25-34 years"	"25-34"	1329	11152141	11.9
	"2005"	"2005"	"35-44 years"	"35-44"	850	11785782	7.2
	"2005"	"2005"	"45-54 years"	"45-54"	535	10858873	4.9
	"2005"	"2005"	"55-64 years"	"55-64"	208	7520937	2.8
	"2005"	"2005"	"65-74 years"	"65-74"	101	4495311	2.2
	"2005"	"2005"	"75-84 years"	"75-84"	67	3075216	2.2
	"2005"	"2005"	"85+ years"	"85+"	21	1101704	1.9
	"2005"	"2005"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2006"	"2006"	"< 1 year"	"1"	79	1146441	6.9
	"2006"	"2006"	"1-4 years"	"1-4"	104	4470380	2.3
	"2006"	"2006"	"5-14 years"	"5-14"	115	11197035	1.0
	"2006"	"2006"	"15-24 years"	"15-24"	1710	11742919	14.6
	"2006"	"2006"	"25-34 years"	"25-34"	1299	11194166	11.6
