"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"1"	76	1069729	7.1
	"1999"	"1999"	"1-4 years"	"1-4"	108	4346933	2.5
	"1999"	"1999"	"5-14 years"	"5-14"	128	11247184	1.1
	"1999"	"1999"	"15-24 years"	"15-24"	1381	10410688	13.3
	"1999"	"1999"	"25-34 years"	"25-34"	1064	11308115	9.4
	"1999"	"1999"	"35-44 years"	"35-44"	783	11922779	6.6
	"1999"	"1999"	"45-54 years"	"45-54"	458	9278832	4.9
	"1999"	"1999"	"55-64 years"	"55-64"	169	5810229	2.9
	"1999"	"1999"	"65-74 years"	"65-74"	119	4332801	2.7
	"1999"	"1999"	"75-84 years"	"75-84"	73	2814881	2.6
	"1999"	"1999"	"85+ years"	"85+"	28	959660	2.9
	"1999"	"1999"	"Not Stated"	"NS"	18	Not Applicable	Not Applicable
	"2000"	"2000"	"< 1 year"	"1"	78	1066249	7.3
	"2000"	"2000"	"1-4 years"	"1-4"	92	4326211	2.1
	"2000"	"2000"	"5-14 years"	"5-14"	92	11348630	0.8
	"2000"	"2000"	"15-24 years"	"15-24"	1424	10620046	13.4
	"2000"	"2000"	"25-34 years"	"25-34"	1151	11231035	10.2
	"2000"	"2000"	"35-44 years"	"35-44"	744	11970397	6.2
	"2000"	"2000"	"45-54 years"	"45-54"	432	9571261	4.5
	"2000"	"2000"	"55-64 years"	"55-64"	186	5946118	3.1
	"2000"	"2000"	"65-74 years"	"65-74"	104	4341614	2.4
	"2000"	"2000"	"75-84 years"	"75-84"	69	2858522	2.4
	"2000"	"2000"	"85+ years"	"85+"	24	983141	2.4
	"2000"	"2000"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"2001"	"2001"	"< 1 year"	"1"	74	1147254	6.5
	"2001"	"2001"	"1-4 years"	"1-4"	99	4275643	2.3
	"2001"	"2001"	"5-14 years"	"5-14"	79	11413819	0.7
	"2001"	"2001"	"15-24 years"	"15-24"	1625	10920607	14.9
	"2001"	"2001"	"25-34 years"	"25-34"	1790	11208741	16.0
	"2001"	"2001"	"35-44 years"	"35-44"	1430	12016534	11.9
	"2001"	"2001"	"45-54 years"	"45-54"	824	10005209	8.2
	"2001"	"2001"	"55-64 years"	"55-64"	338	6172947	5.5
	"2001"	"2001"	"65-74 years"	"65-74"	132	4355418	3.0
	"2001"	"2001"	"75-84 years"	"75-84"	81	2930602	2.8
	"2001"	"2001"	"85+ years"	"85+"	18	1001319	Unreliable
	"2001"	"2001"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"2002"	"2002"	"< 1 year"	"1"	81	1132070	7.2
	"2002"	"2002"	"1-4 years"	"1-4"	101	4326216	2.3
	"2002"	"2002"	"5-14 years"	"5-14"	97	11422821	0.8
	"2002"	"2002"	"15-24 years"	"15-24"	1534	11117124	13.8
	"2002"	"2002"	"25-34 years"	"25-34"	1282	11206646	11.4
