"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"1"	74	1076926	6.9
	"1999"	"1999"	"1-4 years"	"1-4"	105	4375768	2.4
	"1999"	"1999"	"5-14 years"	"5-14"	128	11313261	1.1
	"1999"	"1999"	"15-24 years"	"15-24"	1385	10495526	13.2
	"1999"	"1999"	"25-34 years"	"25-34"	1067	11408971	9.4
	"1999"	"1999"	"35-44 years"	"35-44"	787	12006226	6.6
	"1999"	"1999"	"45-54 years"	"45-54"	465	9337493	5.0
	"1999"	"1999"	"55-64 years"	"55-64"	170	5842236	2.9
	"1999"	"1999"	"65-74 years"	"65-74"	119	4354549	2.7
	"1999"	"1999"	"75-84 years"	"75-84"	70	2827208	2.5
	"1999"	"1999"	"85+ years"	"85+"	28	963208	2.9
	"1999"	"1999"	"Not Stated"	"NS"	18	Not Applicable	Not Applicable
	"2000"	"2000"	"< 1 year"	"1"	75	1073587	7.0
	"2000"	"2000"	"1-4 years"	"1-4"	89	4354802	2.0
	"2000"	"2000"	"5-14 years"	"5-14"	93	11416536	0.8
	"2000"	"2000"	"15-24 years"	"15-24"	1424	10705745	13.3
	"2000"	"2000"	"25-34 years"	"25-34"	1161	11331724	10.2
	"2000"	"2000"	"35-44 years"	"35-44"	747	12054686	6.2
	"2000"	"2000"	"45-54 years"	"45-54"	438	9632495	4.5
	"2000"	"2000"	"55-64 years"	"55-64"	186	5978480	3.1
	"2000"	"2000"	"65-74 years"	"65-74"	109	4363208	2.5
	"2000"	"2000"	"75-84 years"	"75-84"	72	2870815	2.5
	"2000"	"2000"	"85+ years"	"85+"	24	986825	2.4
	"2000"	"2000"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"2001"	"2001"	"< 1 year"	"1"	75	1155218	6.5
	"2001"	"2001"	"1-4 years"	"1-4"	101	4303792	2.3
	"2001"	"2001"	"5-14 years"	"5-14"	78	11483195	0.7
	"2001"	"2001"	"15-24 years"	"15-24"	1628	11009787	14.8
	"2001"	"2001"	"25-34 years"	"25-34"	1809	11309142	16.0
	"2001"	"2001"	"35-44 years"	"35-44"	1432	12101436	11.8
	"2001"	"2001"	"45-54 years"	"45-54"	832	10070267	8.3
	"2001"	"2001"	"55-64 years"	"55-64"	336	6206454	5.4
	"2001"	"2001"	"65-74 years"	"65-74"	141	4377305	3.2
	"2001"	"2001"	"75-84 years"	"75-84"	79	2943107	2.7
	"2001"	"2001"	"85+ years"	"85+"	18	1005153	Unreliable
	"2001"	"2001"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"2002"	"2002"	"< 1 year"	"1"	83	1139535	7.3
	"2002"	"2002"	"1-4 years"	"1-4"	103	4354769	2.4
	"2002"	"2002"	"5-14 years"	"5-14"	98	11491901	0.9
	"2002"	"2002"	"15-24 years"	"15-24"	1548	11206198	13.8
	"2002"	"2002"	"25-34 years"	"25-34"	1290	11307195	11.4
	"2002"	"2002"	"35-44 years"	"35-44"	888	12042526	7.4
	"2002"	"2002"	"45-54 years"	"45-54"	491	10247241	4.8
	"2002"	"2002"	"55-64 years"	"55-64"	220	6596637	3.3
	"2002"	"2002"	"65-74 years"	"65-74"	87	4391189	2.0
	"2002"	"2002"	"75-84 years"	"75-84"	73	2992584	2.4
	"2002"	"2002"	"85+ years"	"85+"	20	1018886	2.0
	"2002"	"2002"	"Not Stated"	"NS"	14	Not Applicable	Not Applicable
	"2003"	"2003"	"< 1 year"	"1"	92	1150288	8.0
	"2003"	"2003"	"1-4 years"	"1-4"	110	4404098	2.5
