"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"1"	76	1070705	7.1
	"1999"	"1999"	"1-4 years"	"1-4"	105	4350958	2.4
	"1999"	"1999"	"5-14 years"	"5-14"	130	11260106	1.2
	"1999"	"1999"	"15-24 years"	"15-24"	1407	10417556	13.5
	"1999"	"1999"	"25-34 years"	"25-34"	1078	11323456	9.5
	"1999"	"1999"	"35-44 years"	"35-44"	796	11939888	6.7
	"1999"	"1999"	"45-54 years"	"45-54"	463	9289277	5.0
	"1999"	"1999"	"55-64 years"	"55-64"	172	5819054	3.0
	"1999"	"1999"	"65-74 years"	"65-74"	123	4340583	2.8
	"1999"	"1999"	"75-84 years"	"75-84"	73	2820500	2.6
	"1999"	"1999"	"85+ years"	"85+"	28	962139	2.9
	"1999"	"1999"	"Not Stated"	"NS"	18	Not Applicable	Not Applicable
	"2000"	"2000"	"< 1 year"	"1"	77	1067195	7.2
	"2000"	"2000"	"1-4 years"	"1-4"	90	4329725	2.1
	"2000"	"2000"	"5-14 years"	"5-14"	94	11361677	0.8
	"2000"	"2000"	"15-24 years"	"15-24"	1455	10627024	13.7
	"2000"	"2000"	"25-34 years"	"25-34"	1166	11245598	10.4
	"2000"	"2000"	"35-44 years"	"35-44"	761	11988213	6.3
	"2000"	"2000"	"45-54 years"	"45-54"	440	9581908	4.6
	"2000"	"2000"	"55-64 years"	"55-64"	189	5954942	3.2
	"2000"	"2000"	"65-74 years"	"65-74"	105	4349132	2.4
	"2000"	"2000"	"75-84 years"	"75-84"	69	2863817	2.4
	"2000"	"2000"	"85+ years"	"85+"	24	985574	2.4
	"2000"	"2000"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"2001"	"2001"	"< 1 year"	"1"	75	1148061	6.5
	"2001"	"2001"	"1-4 years"	"1-4"	101	4279018	2.4
	"2001"	"2001"	"5-14 years"	"5-14"	80	11426339	0.7
	"2001"	"2001"	"15-24 years"	"15-24"	1646	10927970	15.1
	"2001"	"2001"	"25-34 years"	"25-34"	1809	11222351	16.1
	"2001"	"2001"	"35-44 years"	"35-44"	1446	12034405	12.0
	"2001"	"2001"	"45-54 years"	"45-54"	831	10016605	8.3
	"2001"	"2001"	"55-64 years"	"55-64"	337	6181735	5.5
	"2001"	"2001"	"65-74 years"	"65-74"	133	4362639	3.0
	"2001"	"2001"	"75-84 years"	"75-84"	80	2936085	2.7
	"2001"	"2001"	"85+ years"	"85+"	18	1003722	Unreliable
	"2001"	"2001"	"Not Stated"	"NS"	14	Not Applicable	Not Applicable
	"2002"	"2002"	"< 1 year"	"1"	83	1132801	7.3
	"2002"	"2002"	"1-4 years"	"1-4"	107	4329646	2.5
	"2002"	"2002"	"5-14 years"	"5-14"	97	11435047	0.8
