"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"1"	75	1072880	7.0
	"1999"	"1999"	"1-4 years"	"1-4"	107	4359145	2.5
	"1999"	"1999"	"5-14 years"	"5-14"	129	11280664	1.1
	"1999"	"1999"	"15-24 years"	"15-24"	1388	10436206	13.3
	"1999"	"1999"	"25-34 years"	"25-34"	1071	11347875	9.4
	"1999"	"1999"	"35-44 years"	"35-44"	802	11964428	6.7
	"1999"	"1999"	"45-54 years"	"45-54"	458	9305227	4.9
	"1999"	"1999"	"55-64 years"	"55-64"	174	5824688	3.0
	"1999"	"1999"	"65-74 years"	"65-74"	120	4341432	2.8
	"1999"	"1999"	"75-84 years"	"75-84"	70	2820177	2.5
	"1999"	"1999"	"85+ years"	"85+"	28	960577	2.9
	"1999"	"1999"	"Not Stated"	"NS"	18	Not Applicable	Not Applicable
	"2000"	"2000"	"< 1 year"	"1"	78	1069319	7.3
	"2000"	"2000"	"1-4 years"	"1-4"	90	4337954	2.1
	"2000"	"2000"	"5-14 years"	"5-14"	94	11382153	0.8
	"2000"	"2000"	"15-24 years"	"15-24"	1430	10647411	13.4
	"2000"	"2000"	"25-34 years"	"25-34"	1163	11269450	10.3
	"2000"	"2000"	"35-44 years"	"35-44"	762	12013283	6.3
	"2000"	"2000"	"45-54 years"	"45-54"	437	9599240	4.6
	"2000"	"2000"	"55-64 years"	"55-64"	186	5961699	3.1
	"2000"	"2000"	"65-74 years"	"65-74"	106	4350062	2.4
	"2000"	"2000"	"75-84 years"	"75-84"	70	2863984	2.4
	"2000"	"2000"	"85+ years"	"85+"	24	984249	2.4
	"2000"	"2000"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"2001"	"2001"	"< 1 year"	"1"	74	1150042	6.4
	"2001"	"2001"	"1-4 years"	"1-4"	102	4287855	2.4
	"2001"	"2001"	"5-14 years"	"5-14"	79	11447811	0.7
	"2001"	"2001"	"15-24 years"	"15-24"	1630	10951301	14.9
	"2001"	"2001"	"25-34 years"	"25-34"	1803	11246317	16.0
	"2001"	"2001"	"35-44 years"	"35-44"	1436	12060435	11.9
	"2001"	"2001"	"45-54 years"	"45-54"	835	10035456	8.3
	"2001"	"2001"	"55-64 years"	"55-64"	338	6189839	5.5
	"2001"	"2001"	"65-74 years"	"65-74"	134	4363955	3.1
	"2001"	"2001"	"75-84 years"	"75-84"	80	2936311	2.7
	"2001"	"2001"	"85+ years"	"85+"	18	1003277	Unreliable
	"2001"	"2001"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"2002"	"2002"	"< 1 year"	"1"	83	1134592	7.3
	"2002"	"2002"	"1-4 years"	"1-4"	102	4338556	2.4
	"2002"	"2002"	"5-14 years"	"5-14"	100	11457242	0.9
	"2002"	"2002"	"15-24 years"	"15-24"	1553	11150110	13.9
	"2002"	"2002"	"25-34 years"	"25-34"	1301	11244219	11.6
	"2002"	"2002"	"35-44 years"	"35-44"	894	12002806	7.4
	"2002"	"2002"	"45-54 years"	"45-54"	498	10213160	4.9
	"2002"	"2002"	"55-64 years"	"55-64"	222	6579045	3.4
	"2002"	"2002"	"65-74 years"	"65-74"	87	4378488	2.0
	"2002"	"2002"	"75-84 years"	"75-84"	73	2985434	2.4
	"2002"	"2002"	"85+ years"	"85+"	20	1016848	2.0
	"2002"	"2002"	"Not Stated"	"NS"	14	Not Applicable	Not Applicable
	"2003"	"2003"	"< 1 year"	"1"	92	1145357	8.0
	"2003"	"2003"	"1-4 years"	"1-4"	108	4388427	2.5
	"2003"	"2003"	"5-14 years"	"5-14"	98	11429013	0.9
	"2003"	"2003"	"15-24 years"	"15-24"	1677	11317570	14.8
	"2003"	"2003"	"25-34 years"	"25-34"	1324	11222651	11.8
	"2003"	"2003"	"35-44 years"	"35-44"	849	11938005	7.1
	"2003"	"2003"	"45-54 years"	"45-54"	494	10447210	4.7
	"2003"	"2003"	"55-64 years"	"55-64"	204	6901674	3.0
	"2003"	"2003"	"65-74 years"	"65-74"	121	4415654	2.7
	"2003"	"2003"	"75-84 years"	"75-84"	72	3022107	2.4
	"2003"	"2003"	"85+ years"	"85+"	26	1041994	2.5
	"2003"	"2003"	"Not Stated"	"NS"	11	Not Applicable	Not Applicable
	"2004"	"2004"	"< 1 year"	"1"	75	1145816	6.5
	"2004"	"2004"	"1-4 years"	"1-4"	83	4447769	1.9
	"2004"	"2004"	"5-14 years"	"5-14"	87	11354207	0.8
	"2004"	"2004"	"15-24 years"	"15-24"	1604	11478035	14.0
	"2004"	"2004"	"25-34 years"	"25-34"	1287	11210178	11.5
	"2004"	"2004"	"35-44 years"	"35-44"	776	11886184	6.5
	"2004"	"2004"	"45-54 years"	"45-54"	530	10659610	5.0
	"2004"	"2004"	"55-64 years"	"55-64"	232	7213486	3.2
	"2004"	"2004"	"65-74 years"	"65-74"	97	4455443	2.2
	"2004"	"2004"	"75-84 years"	"75-84"	68	3050094	2.2
	"2004"	"2004"	"85+ years"	"85+"	33	1059414	3.1
	"2004"	"2004"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2005"	"2005"	"< 1 year"	"1"	63	1142397	5.5
	"2005"	"2005"	"1-4 years"	"1-4"	108	4480616	2.4
	"2005"	"2005"	"5-14 years"	"5-14"	85	11231967	0.8
	"2005"	"2005"	"15-24 years"	"15-24"	1645	11625852	14.1
