"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"1"	76	1070038	7.1
	"1999"	"1999"	"1-4 years"	"1-4"	108	4348900	2.5
	"1999"	"1999"	"5-14 years"	"5-14"	128	11257267	1.1
	"1999"	"1999"	"15-24 years"	"15-24"	1390	10422544	13.3
	"1999"	"1999"	"25-34 years"	"25-34"	1078	11319451	9.5
	"1999"	"1999"	"35-44 years"	"35-44"	796	11937940	6.7
	"1999"	"1999"	"45-54 years"	"45-54"	468	9294300	5.0
	"1999"	"1999"	"55-64 years"	"55-64"	174	5820670	3.0
	"1999"	"1999"	"65-74 years"	"65-74"	122	4344942	2.8
	"1999"	"1999"	"75-84 years"	"75-84"	72	2823881	2.5
	"1999"	"1999"	"85+ years"	"85+"	29	963061	3.0
	"1999"	"1999"	"Not Stated"	"NS"	18	Not Applicable	Not Applicable
	"2000"	"2000"	"< 1 year"	"1"	76	1066564	7.1
	"2000"	"2000"	"1-4 years"	"1-4"	92	4327743	2.1
	"2000"	"2000"	"5-14 years"	"5-14"	94	11359243	0.8
	"2000"	"2000"	"15-24 years"	"15-24"	1446	10631320	13.6
	"2000"	"2000"	"25-34 years"	"25-34"	1169	11241334	10.4
	"2000"	"2000"	"35-44 years"	"35-44"	768	11985550	6.4
	"2000"	"2000"	"45-54 years"	"45-54"	445	9587177	4.6
	"2000"	"2000"	"55-64 years"	"55-64"	188	5956214	3.2
	"2000"	"2000"	"65-74 years"	"65-74"	105	4353189	2.4
	"2000"	"2000"	"75-84 years"	"75-84"	72	2867028	2.5
	"2000"	"2000"	"85+ years"	"85+"	24	986610	2.4
	"2000"	"2000"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"2001"	"2001"	"< 1 year"	"1"	74	1147278	6.5
	"2001"	"2001"	"1-4 years"	"1-4"	101	4276810	2.4
	"2001"	"2001"	"5-14 years"	"5-14"	78	11423897	0.7
	"2001"	"2001"	"15-24 years"	"15-24"	1644	10931675	15.0
	"2001"	"2001"	"25-34 years"	"25-34"	1804	11218225	16.1
	"2001"	"2001"	"35-44 years"	"35-44"	1439	12030235	12.0
	"2001"	"2001"	"45-54 years"	"45-54"	832	10021516	8.3
	"2001"	"2001"	"55-64 years"	"55-64"	337	6182341	5.5
	"2001"	"2001"	"65-74 years"	"65-74"	135	4366549	3.1
	"2001"	"2001"	"75-84 years"	"75-84"	83	2938917	2.8
	"2001"	"2001"	"85+ years"	"85+"	18	1004672	Unreliable
	"2001"	"2001"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"2002"	"2002"	"< 1 year"	"1"	81	1131747	7.2
	"2002"	"2002"	"1-4 years"	"1-4"	103	4327051	2.4
	"2002"	"2002"	"5-14 years"	"5-14"	98	11431907	0.9
	"2002"	"2002"	"15-24 years"	"15-24"	1555	11127414	14.0
	"2002"	"2002"	"25-34 years"	"25-34"	1299	11215653	11.6
	"2002"	"2002"	"35-44 years"	"35-44"	893	11970723	7.5
	"2002"	"2002"	"45-54 years"	"45-54"	494	10197624	4.8
	"2002"	"2002"	"55-64 years"	"55-64"	224	6569842	3.4
	"2002"	"2002"	"65-74 years"	"65-74"	89	4379652	2.0
	"2002"	"2002"	"75-84 years"	"75-84"	71	2987905	2.4
	"2002"	"2002"	"85+ years"	"85+"	20	1017968	2.0
	"2002"	"2002"	"Not Stated"	"NS"	15	Not Applicable	Not Applicable
	"2003"	"2003"	"< 1 year"	"1"	91	1142423	8.0
	"2003"	"2003"	"1-4 years"	"1-4"	110	4376014	2.5
	"2003"	"2003"	"5-14 years"	"5-14"	98	11403128	0.9
	"2003"	"2003"	"15-24 years"	"15-24"	1688	11292340	14.9
	"2003"	"2003"	"25-34 years"	"25-34"	1319	11194453	11.8
	"2003"	"2003"	"35-44 years"	"35-44"	862	11905032	7.2
	"2003"	"2003"	"45-54 years"	"45-54"	495	10430378	4.7
	"2003"	"2003"	"55-64 years"	"55-64"	206	6890485	3.0
	"2003"	"2003"	"65-74 years"	"65-74"	126	4415923	2.9
	"2003"	"2003"	"75-84 years"	"75-84"	72	3024574	2.4
	"2003"	"2003"	"85+ years"	"85+"	26	1042792	2.5
	"2003"	"2003"	"Not Stated"	"NS"	10	Not Applicable	Not Applicable
	"2004"	"2004"	"< 1 year"	"1"	73	1142718	6.4
	"2004"	"2004"	"1-4 years"	"1-4"	79	4434873	1.8
	"2004"	"2004"	"5-14 years"	"5-14"	89	11327953	0.8
	"2004"	"2004"	"15-24 years"	"15-24"	1600	11449134	14.0
	"2004"	"2004"	"25-34 years"	"25-34"	1277	11180697	11.4
	"2004"	"2004"	"35-44 years"	"35-44"	777	11851953	6.6
	"2004"	"2004"	"45-54 years"	"45-54"	523	10640824	4.9
	"2004"	"2004"	"55-64 years"	"55-64"	235	7201288	3.3
	"2004"	"2004"	"65-74 years"	"65-74"	95	4454337	2.1
	"2004"	"2004"	"75-84 years"	"75-84"	64	3052224	2.1
	"2004"	"2004"	"85+ years"	"85+"	31	1060188	2.9
	"2004"	"2004"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2005"	"2005"	"< 1 year"	"1"	63	1139169	5.5
	"2005"	"2005"	"1-4 years"	"1-4"	108	4467626	2.4
	"2005"	"2005"	"5-14 years"	"5-14"	84	11205826	0.7
	"2005"	"2005"	"15-24 years"	"15-24"	1655	11594834	14.3
	"2005"	"2005"	"25-34 years"	"25-34"	1347	11143402	12.1
	"2005"	"2005"	"35-44 years"	"35-44"	870	11784566	7.4
	"2005"	"2005"	"45-54 years"	"45-54"	545	10861248	5.0
	"2005"	"2005"	"55-64 years"	"55-64"	203	7520386	2.7
