"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"1"	73	1061269	6.9
	"1999"	"1999"	"1-4 years"	"1-4"	105	4314228	2.4
	"1999"	"1999"	"5-14 years"	"5-14"	127	11164576	1.1
	"1999"	"1999"	"15-24 years"	"15-24"	1365	10330528	13.2
	"1999"	"1999"	"25-34 years"	"25-34"	1051	11225362	9.4
	"1999"	"1999"	"35-44 years"	"35-44"	777	11833226	6.6
	"1999"	"1999"	"45-54 years"	"45-54"	454	9205254	4.9
	"1999"	"1999"	"55-64 years"	"55-64"	168	5764751	2.9
	"1999"	"1999"	"65-74 years"	"65-74"	118	4297607	2.7
	"1999"	"1999"	"75-84 years"	"75-84"	70	2791702	2.5
	"1999"	"1999"	"85+ years"	"85+"	28	951646	2.9
	"1999"	"1999"	"Not Stated"	"NS"	18	Not Applicable	Not Applicable
	"2000"	"2000"	"< 1 year"	"1"	75	1057804	7.1
	"2000"	"2000"	"1-4 years"	"1-4"	89	4293222	2.1
	"2000"	"2000"	"5-14 years"	"5-14"	92	11266368	0.8
	"2000"	"2000"	"15-24 years"	"15-24"	1411	10539665	13.4
	"2000"	"2000"	"25-34 years"	"25-34"	1144	11148469	10.3
	"2000"	"2000"	"35-44 years"	"35-44"	737	11881877	6.2
	"2000"	"2000"	"45-54 years"	"45-54"	430	9495708	4.5
	"2000"	"2000"	"55-64 years"	"55-64"	185	5900270	3.1
	"2000"	"2000"	"65-74 years"	"65-74"	104	4306477	2.4
	"2000"	"2000"	"75-84 years"	"75-84"	69	2834980	2.4
	"2000"	"2000"	"85+ years"	"85+"	24	975085	2.5
	"2000"	"2000"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"2001"	"2001"	"< 1 year"	"1"	73	1138052	6.4
	"2001"	"2001"	"1-4 years"	"1-4"	99	4242787	2.3
	"2001"	"2001"	"5-14 years"	"5-14"	78	11332331	0.7
