"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"1"	73	1065924	6.8
	"1999"	"1999"	"1-4 years"	"1-4"	105	4332843	2.4
	"1999"	"1999"	"5-14 years"	"5-14"	127	11211993	1.1
	"1999"	"1999"	"15-24 years"	"15-24"	1376	10388624	13.2
	"1999"	"1999"	"25-34 years"	"25-34"	1057	11281129	9.4
	"1999"	"1999"	"35-44 years"	"35-44"	779	11894158	6.5
	"1999"	"1999"	"45-54 years"	"45-54"	459	9257667	5.0
	"1999"	"1999"	"55-64 years"	"55-64"	168	5798692	2.9
	"1999"	"1999"	"65-74 years"	"65-74"	118	4323528	2.7
	"1999"	"1999"	"75-84 years"	"75-84"	70	2808427	2.5
	"1999"	"1999"	"85+ years"	"85+"	28	957174	2.9
	"1999"	"1999"	"Not Stated"	"NS"	18	Not Applicable	Not Applicable
	"2000"	"2000"	"< 1 year"	"1"	75	1062430	7.1
	"2000"	"2000"	"1-4 years"	"1-4"	89	4311967	2.1
	"2000"	"2000"	"5-14 years"	"5-14"	94	11314198	0.8
	"2000"	"2000"	"15-24 years"	"15-24"	1419	10598049	13.4
	"2000"	"2000"	"25-34 years"	"25-34"	1154	11203526	10.3
	"2000"	"2000"	"35-44 years"	"35-44"	742	11942777	6.2
	"2000"	"2000"	"45-54 years"	"45-54"	431	9549450	4.5
	"2000"	"2000"	"55-64 years"	"55-64"	185	5934603	3.1
	"2000"	"2000"	"65-74 years"	"65-74"	105	4332460	2.4
	"2000"	"2000"	"75-84 years"	"75-84"	69	2851819	2.4
	"2000"	"2000"	"85+ years"	"85+"	25	980678	2.5
	"2000"	"2000"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"2001"	"2001"	"< 1 year"	"1"	73	1142839	6.4
	"2001"	"2001"	"1-4 years"	"1-4"	99	4261384	2.3
	"2001"	"2001"	"5-14 years"	"5-14"	78	11380426	0.7
	"2001"	"2001"	"15-24 years"	"15-24"	1613	10900232	14.8
	"2001"	"2001"	"25-34 years"	"25-34"	1783	11180007	15.9
	"2001"	"2001"	"35-44 years"	"35-44"	1423	11989677	11.9
	"2001"	"2001"	"45-54 years"	"45-54"	827	9982265	8.3
	"2001"	"2001"	"55-64 years"	"55-64"	337	6161047	5.5
	"2001"	"2001"	"65-74 years"	"65-74"	133	4346920	3.1
	"2001"	"2001"	"75-84 years"	"75-84"	80	2923971	2.7
	"2001"	"2001"	"85+ years"	"85+"	18	998973	Unreliable
