"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"1"	73	1068117	6.8
	"1999"	"1999"	"1-4 years"	"1-4"	106	4341456	2.4
	"1999"	"1999"	"5-14 years"	"5-14"	129	11232922	1.1
	"1999"	"1999"	"15-24 years"	"15-24"	1380	10398371	13.3
	"1999"	"1999"	"25-34 years"	"25-34"	1058	11295801	9.4
	"1999"	"1999"	"35-44 years"	"35-44"	783	11907689	6.6
	"1999"	"1999"	"45-54 years"	"45-54"	455	9265004	4.9
	"1999"	"1999"	"55-64 years"	"55-64"	169	5800050	2.9
	"1999"	"1999"	"65-74 years"	"65-74"	118	4324315	2.7
	"1999"	"1999"	"75-84 years"	"75-84"	72	2809290	2.6
	"1999"	"1999"	"85+ years"	"85+"	29	957932	3.0
	"1999"	"1999"	"Not Stated"	"NS"	18	Not Applicable	Not Applicable
	"2000"	"2000"	"< 1 year"	"1"	75	1064702	7.0
	"2000"	"2000"	"1-4 years"	"1-4"	91	4320617	2.1
	"2000"	"2000"	"5-14 years"	"5-14"	94	11334659	0.8
	"2000"	"2000"	"15-24 years"	"15-24"	1422	10607973	13.4
	"2000"	"2000"	"25-34 years"	"25-34"	1151	11219028	10.3
	"2000"	"2000"	"35-44 years"	"35-44"	745	11955878	6.2
	"2000"	"2000"	"45-54 years"	"45-54"	433	9557337	4.5
	"2000"	"2000"	"55-64 years"	"55-64"	185	5935979	3.1
	"2000"	"2000"	"65-74 years"	"65-74"	104	4333105	2.4
	"2000"	"2000"	"75-84 years"	"75-84"	69	2852806	2.4
	"2000"	"2000"	"85+ years"	"85+"	24	981426	2.4
	"2000"	"2000"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"2001"	"2001"	"< 1 year"	"1"	73	1145771	6.4
	"2001"	"2001"	"1-4 years"	"1-4"	100	4270106	2.3
	"2001"	"2001"	"5-14 years"	"5-14"	78	11400593	0.7
	"2001"	"2001"	"15-24 years"	"15-24"	1617	10908542	14.8
	"2001"	"2001"	"25-34 years"	"25-34"	1788	11197564	16.0
	"2001"	"2001"	"35-44 years"	"35-44"	1424	12002420	11.9
	"2001"	"2001"	"45-54 years"	"45-54"	823	9990949	8.2
	"2001"	"2001"	"55-64 years"	"55-64"	336	6162295	5.5
	"2001"	"2001"	"65-74 years"	"65-74"	132	4347141	3.0
	"2001"	"2001"	"75-84 years"	"75-84"	79	2924921	2.7
	"2001"	"2001"	"85+ years"	"85+"	18	999741	Unreliable
	"2001"	"2001"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"2002"	"2002"	"< 1 year"	"1"	82	1130509	7.3
	"2002"	"2002"	"1-4 years"	"1-4"	104	4320638	2.4
	"2002"	"2002"	"5-14 years"	"5-14"	98	11410343	0.9
	"2002"	"2002"	"15-24 years"	"15-24"	1527	11104846	13.8
	"2002"	"2002"	"25-34 years"	"25-34"	1280	11196201	11.4
	"2002"	"2002"	"35-44 years"	"35-44"	879	11945218	7.4
	"2002"	"2002"	"45-54 years"	"45-54"	485	10166659	4.8
	"2002"	"2002"	"55-64 years"	"55-64"	219	6548930	3.3
	"2002"	"2002"	"65-74 years"	"65-74"	86	4361440	2.0
	"2002"	"2002"	"75-84 years"	"75-84"	71	2973766	2.4
	"2002"	"2002"	"85+ years"	"85+"	20	1013284	2.0
	"2002"	"2002"	"Not Stated"	"NS"	14	Not Applicable	Not Applicable
	"2003"	"2003"	"< 1 year"	"1"	92	1141593	8.1
	"2003"	"2003"	"1-4 years"	"1-4"	111	4370088	2.5
	"2003"	"2003"	"5-14 years"	"5-14"	98	11382682	0.9
	"2003"	"2003"	"15-24 years"	"15-24"	1651	11270308	14.6
	"2003"	"2003"	"25-34 years"	"25-34"	1305	11175088	11.7
	"2003"	"2003"	"35-44 years"	"35-44"	843	11881218	7.1
	"2003"	"2003"	"45-54 years"	"45-54"	485	10399567	4.7
	"2003"	"2003"	"55-64 years"	"55-64"	202	6869326	2.9
	"2003"	"2003"	"65-74 years"	"65-74"	121	4398176	2.8
	"2003"	"2003"	"75-84 years"	"75-84"	70	3010249	2.3
	"2003"	"2003"	"85+ years"	"85+"	26	1038435	2.5
	"2003"	"2003"	"Not Stated"	"NS"	10	Not Applicable	Not Applicable
	"2004"	"2004"	"< 1 year"	"1"	74	1141873	6.5
	"2004"	"2004"	"1-4 years"	"1-4"	79	4430109	1.8
