"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"1"	73	1070304	6.8
	"1999"	"1999"	"1-4 years"	"1-4"	105	4348900	2.4
	"1999"	"1999"	"5-14 years"	"5-14"	127	11250935	1.1
	"1999"	"1999"	"15-24 years"	"15-24"	1370	10418218	13.2
	"1999"	"1999"	"25-34 years"	"25-34"	1060	11338128	9.3
	"1999"	"1999"	"35-44 years"	"35-44"	785	11946588	6.6
	"1999"	"1999"	"45-54 years"	"45-54"	455	9286101	4.9
	"1999"	"1999"	"55-64 years"	"55-64"	168	5807002	2.9
	"1999"	"1999"	"65-74 years"	"65-74"	119	4323307	2.8
	"1999"	"1999"	"75-84 years"	"75-84"	70	2806873	2.5
	"1999"	"1999"	"85+ years"	"85+"	28	956521	2.9
	"1999"	"1999"	"Not Stated"	"NS"	18	Not Applicable	Not Applicable
	"2000"	"2000"	"< 1 year"	"1"	75	1066971	7.0
	"2000"	"2000"	"1-4 years"	"1-4"	89	4329197	2.1
	"2000"	"2000"	"5-14 years"	"5-14"	94	11355778	0.8
	"2000"	"2000"	"15-24 years"	"15-24"	1421	10629624	13.4
	"2000"	"2000"	"25-34 years"	"25-34"	1154	11261878	10.2
	"2000"	"2000"	"35-44 years"	"35-44"	743	11997540	6.2
	"2000"	"2000"	"45-54 years"	"45-54"	434	9579914	4.5
	"2000"	"2000"	"55-64 years"	"55-64"	187	5943955	3.1
	"2000"	"2000"	"65-74 years"	"65-74"	105	4332455	2.4
	"2000"	"2000"	"75-84 years"	"75-84"	69	2850401	2.4
	"2000"	"2000"	"85+ years"	"85+"	25	980058	2.6
	"2000"	"2000"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"2001"	"2001"	"< 1 year"	"1"	73	1148636	6.4
	"2001"	"2001"	"1-4 years"	"1-4"	99	4280633	2.3
	"2001"	"2001"	"5-14 years"	"5-14"	78	11425380	0.7
	"2001"	"2001"	"15-24 years"	"15-24"	1616	10933058	14.8
	"2001"	"2001"	"25-34 years"	"25-34"	1786	11243533	15.9
	"2001"	"2001"	"35-44 years"	"35-44"	1419	12048840	11.8
	"2001"	"2001"	"45-54 years"	"45-54"	824	10016755	8.2
	"2001"	"2001"	"55-64 years"	"55-64"	337	6172726	5.5
	"2001"	"2001"	"65-74 years"	"65-74"	132	4347610	3.0
	"2001"	"2001"	"75-84 years"	"75-84"	79	2922980	2.7
	"2001"	"2001"	"85+ years"	"85+"	19	998586	Unreliable
	"2001"	"2001"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"2002"	"2002"	"< 1 year"	"1"	81	1133675	7.1
	"2002"	"2002"	"1-4 years"	"1-4"	102	4332294	2.4
	"2002"	"2002"	"5-14 years"	"5-14"	97	11437799	0.8
	"2002"	"2002"	"15-24 years"	"15-24"	1531	11130104	13.8
	"2002"	"2002"	"25-34 years"	"25-34"	1288	11243026	11.5
	"2002"	"2002"	"35-44 years"	"35-44"	874	11994432	7.3
	"2002"	"2002"	"45-54 years"	"45-54"	484	10195124	4.7
	"2002"	"2002"	"55-64 years"	"55-64"	219	6562300	3.3
	"2002"	"2002"	"65-74 years"	"65-74"	86	4362867	2.0
	"2002"	"2002"	"75-84 years"	"75-84"	71	2972434	2.4
	"2002"	"2002"	"85+ years"	"85+"	20	1012305	2.0
	"2002"	"2002"	"Not Stated"	"NS"	14	Not Applicable	Not Applicable
	"2003"	"2003"	"< 1 year"	"1"	90	1144587	7.9
	"2003"	"2003"	"1-4 years"	"1-4"	108	4383243	2.5
	"2003"	"2003"	"5-14 years"	"5-14"	97	11413109	0.8
	"2003"	"2003"	"15-24 years"	"15-24"	1646	11294976	14.6
	"2003"	"2003"	"25-34 years"	"25-34"	1302	11223022	11.6
	"2003"	"2003"	"35-44 years"	"35-44"	842	11933548	7.1
	"2003"	"2003"	"45-54 years"	"45-54"	484	10430359	4.6
	"2003"	"2003"	"55-64 years"	"55-64"	201	6884945	2.9
	"2003"	"2003"	"65-74 years"	"65-74"	120	4400920	2.7
	"2003"	"2003"	"75-84 years"	"75-84"	71	3009416	2.4
	"2003"	"2003"	"85+ years"	"85+"	26	1037650	2.5
	"2003"	"2003"	"Not Stated"	"NS"	10	Not Applicable	Not Applicable
	"2004"	"2004"	"< 1 year"	"1"	73	1145310	6.4
	"2004"	"2004"	"1-4 years"	"1-4"	79	4443955	1.8
	"2004"	"2004"	"5-14 years"	"5-14"	86	11341400	0.8
	"2004"	"2004"	"15-24 years"	"15-24"	1587	11454174	13.9
	"2004"	"2004"	"25-34 years"	"25-34"	1258	11210856	11.2
	"2004"	"2004"	"35-44 years"	"35-44"	765	11884612	6.4
	"2004"	"2004"	"45-54 years"	"45-54"	522	10644442	4.9
	"2004"	"2004"	"55-64 years"	"55-64"	230	7197236	3.2
	"2004"	"2004"	"65-74 years"	"65-74"	95	4441268	2.1
	"2004"	"2004"	"75-84 years"	"75-84"	64	3037902	2.1
	"2004"	"2004"	"85+ years"	"85+"	31	1055347	2.9
	"2004"	"2004"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2005"	"2005"	"< 1 year"	"1"	62	1141872	5.4
	"2005"	"2005"	"1-4 years"	"1-4"	108	4479370	2.4
	"2005"	"2005"	"5-14 years"	"5-14"	83	11224258	0.7
	"2005"	"2005"	"15-24 years"	"15-24"	1621	11604656	14.0
	"2005"	"2005"	"25-34 years"	"25-34"	1328	11175816	11.9
	"2005"	"2005"	"35-44 years"	"35-44"	843	11823377	7.1
