"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"1"	74	1071838	6.9
	"1999"	"1999"	"1-4 years"	"1-4"	105	4353187	2.4
	"1999"	"1999"	"5-14 years"	"5-14"	129	11260034	1.1
	"1999"	"1999"	"15-24 years"	"15-24"	1400	10421019	13.4
	"1999"	"1999"	"25-34 years"	"25-34"	1073	11354768	9.4
	"1999"	"1999"	"35-44 years"	"35-44"	788	11953960	6.6
	"1999"	"1999"	"45-54 years"	"45-54"	463	9293309	5.0
	"1999"	"1999"	"55-64 years"	"55-64"	170	5813798	2.9
	"1999"	"1999"	"65-74 years"	"65-74"	119	4329941	2.7
	"1999"	"1999"	"75-84 years"	"75-84"	74	2811982	2.6
	"1999"	"1999"	"85+ years"	"85+"	28	958384	2.9
	"1999"	"1999"	"Not Stated"	"NS"	19	Not Applicable	Not Applicable
	"2000"	"2000"	"< 1 year"	"1"	77	1068503	7.2
	"2000"	"2000"	"1-4 years"	"1-4"	90	4333273	2.1
	"2000"	"2000"	"5-14 years"	"5-14"	92	11364257	0.8
	"2000"	"2000"	"15-24 years"	"15-24"	1439	10632611	13.5
	"2000"	"2000"	"25-34 years"	"25-34"	1168	11278736	10.4
	"2000"	"2000"	"35-44 years"	"35-44"	758	12004413	6.3
	"2000"	"2000"	"45-54 years"	"45-54"	435	9586899	4.5
	"2000"	"2000"	"55-64 years"	"55-64"	188	5950421	3.2
	"2000"	"2000"	"65-74 years"	"65-74"	106	4338834	2.4
	"2000"	"2000"	"75-84 years"	"75-84"	69	2855487	2.4
	"2000"	"2000"	"85+ years"	"85+"	24	981945	2.4
	"2000"	"2000"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"2001"	"2001"	"< 1 year"	"1"	74	1149969	6.4
	"2001"	"2001"	"1-4 years"	"1-4"	100	4284472	2.3
	"2001"	"2001"	"5-14 years"	"5-14"	78	11433340	0.7
	"2001"	"2001"	"15-24 years"	"15-24"	1632	10935204	14.9
	"2001"	"2001"	"25-34 years"	"25-34"	1798	11260087	16.0
	"2001"	"2001"	"35-44 years"	"35-44"	1432	12054599	11.9
	"2001"	"2001"	"45-54 years"	"45-54"	826	10023463	8.2
	"2001"	"2001"	"55-64 years"	"55-64"	335	6178781	5.4
	"2001"	"2001"	"65-74 years"	"65-74"	137	4353685	3.1
	"2001"	"2001"	"75-84 years"	"75-84"	79	2927998	2.7
	"2001"	"2001"	"85+ years"	"85+"	18	1000491	Unreliable
