"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"1"	75	1069398	7.0
	"1999"	"1999"	"1-4 years"	"1-4"	108	4343738	2.5
	"1999"	"1999"	"5-14 years"	"5-14"	130	11233184	1.2
	"1999"	"1999"	"15-24 years"	"15-24"	1382	10415643	13.3
	"1999"	"1999"	"25-34 years"	"25-34"	1066	11326200	9.4
	"1999"	"1999"	"35-44 years"	"35-44"	799	11926812	6.7
	"1999"	"1999"	"45-54 years"	"45-54"	457	9278480	4.9
	"1999"	"1999"	"55-64 years"	"55-64"	171	5809593	2.9
	"1999"	"1999"	"65-74 years"	"65-74"	122	4331089	2.8
	"1999"	"1999"	"75-84 years"	"75-84"	70	2813670	2.5
	"1999"	"1999"	"85+ years"	"85+"	28	959593	2.9
	"1999"	"1999"	"Not Stated"	"NS"	18	Not Applicable	Not Applicable
	"2000"	"2000"	"< 1 year"	"1"	76	1065906	7.1
	"2000"	"2000"	"1-4 years"	"1-4"	90	4322933	2.1
	"2000"	"2000"	"5-14 years"	"5-14"	92	11335324	0.8
	"2000"	"2000"	"15-24 years"	"15-24"	1440	10625541	13.6
	"2000"	"2000"	"25-34 years"	"25-34"	1174	11248656	10.4
	"2000"	"2000"	"35-44 years"	"35-44"	753	11975376	6.3
	"2000"	"2000"	"45-54 years"	"45-54"	438	9570742	4.6
	"2000"	"2000"	"55-64 years"	"55-64"	187	5945352	3.1
	"2000"	"2000"	"65-74 years"	"65-74"	106	4339875	2.4
	"2000"	"2000"	"75-84 years"	"75-84"	70	2857024	2.5
	"2000"	"2000"	"85+ years"	"85+"	24	983087	2.4
	"2000"	"2000"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"2001"	"2001"	"< 1 year"	"1"	74	1146983	6.5
	"2001"	"2001"	"1-4 years"	"1-4"	100	4272796	2.3
