"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"1"	74	1068799	6.9
	"1999"	"1999"	"1-4 years"	"1-4"	106	4344295	2.4
	"1999"	"1999"	"5-14 years"	"5-14"	127	11243141	1.1
	"1999"	"1999"	"15-24 years"	"15-24"	1378	10407654	13.2
	"1999"	"1999"	"25-34 years"	"25-34"	1070	11303093	9.5
	"1999"	"1999"	"35-44 years"	"35-44"	790	11920839	6.6
	"1999"	"1999"	"45-54 years"	"45-54"	459	9280484	4.9
	"1999"	"1999"	"55-64 years"	"55-64"	170	5816120	2.9
	"1999"	"1999"	"65-74 years"	"65-74"	118	4338894	2.7
	"1999"	"1999"	"75-84 years"	"75-84"	72	2818891	2.6
	"1999"	"1999"	"85+ years"	"85+"	28	959883	2.9
	"1999"	"1999"	"Not Stated"	"NS"	18	Not Applicable	Not Applicable
	"2000"	"2000"	"< 1 year"	"1"	75	1065294	7.0
	"2000"	"2000"	"1-4 years"	"1-4"	90	4322786	2.1
	"2000"	"2000"	"5-14 years"	"5-14"	93	11344519	0.8
	"2000"	"2000"	"15-24 years"	"15-24"	1421	10616503	13.4
	"2000"	"2000"	"25-34 years"	"25-34"	1157	11224521	10.3
	"2000"	"2000"	"35-44 years"	"35-44"	744	11968152	6.2
	"2000"	"2000"	"45-54 years"	"45-54"	439	9572359	4.6
	"2000"	"2000"	"55-64 years"	"55-64"	188	5951614	3.2
	"2000"	"2000"	"65-74 years"	"65-74"	105	4347356	2.4
	"2000"	"2000"	"75-84 years"	"75-84"	72	2862441	2.5
	"2000"	"2000"	"85+ years"	"85+"	25	983442	2.5
	"2000"	"2000"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"2001"	"2001"	"< 1 year"	"1"	75	1145692	6.5
	"2001"	"2001"	"1-4 years"	"1-4"	101	4271968	2.4
	"2001"	"2001"	"5-14 years"	"5-14"	79	11409137	0.7
	"2001"	"2001"	"15-24 years"	"15-24"	1622	10916570	14.9
	"2001"	"2001"	"25-34 years"	"25-34"	1791	11199630	16.0
	"2001"	"2001"	"35-44 years"	"35-44"	1421	12013557	11.8
	"2001"	"2001"	"45-54 years"	"45-54"	824	10005473	8.2
	"2001"	"2001"	"55-64 years"	"55-64"	337	6177463	5.5
	"2001"	"2001"	"65-74 years"	"65-74"	134	4361363	3.1
	"2001"	"2001"	"75-84 years"	"75-84"	79	2934628	2.7
	"2001"	"2001"	"85+ years"	"85+"	19	1001973	Unreliable
	"2001"	"2001"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"2002"	"2002"	"< 1 year"	"1"	84	1130236	7.4
	"2002"	"2002"	"1-4 years"	"1-4"	101	4321904	2.3
	"2002"	"2002"	"5-14 years"	"5-14"	98	11417635	0.9
	"2002"	"2002"	"15-24 years"	"15-24"	1543	11112612	13.9
	"2002"	"2002"	"25-34 years"	"25-34"	1281	11195850	11.4
	"2002"	"2002"	"35-44 years"	"35-44"	881	11954957	7.4
	"2002"	"2002"	"45-54 years"	"45-54"	489	10180695	4.8
	"2002"	"2002"	"55-64 years"	"55-64"	219	6564633	3.3
	"2002"	"2002"	"65-74 years"	"65-74"	87	4375182	2.0
	"2002"	"2002"	"75-84 years"	"75-84"	71	2983776	2.4
	"2002"	"2002"	"85+ years"	"85+"	20	1015658	2.0
