"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Jefferson County, AL"	"01073"	"2000"	"2000"	"Black or African American"	"2054-5"	2625	261304	1004.6	1207.3
	"Jefferson County, AL"	"01073"	"2000"	"2000"	"White"	"2106-3"	4532	382469	1184.9	937.8
	"Jefferson County, AL"	"01073"	"2001"	"2001"	"Black or African American"	"2054-5"	2751	263244	1045.0	1258.8
	"Jefferson County, AL"	"01073"	"2001"	"2001"	"White"	"2106-3"	4449	377031	1180.0	929.3
	"Jefferson County, AL"	"01073"	"2002"	"2002"	"Black or African American"	"2054-5"	2773	263881	1050.9	1279.6
	"Jefferson County, AL"	"01073"	"2002"	"2002"	"White"	"2106-3"	4561	371901	1226.4	957.0
	"Jefferson County, AL"	"01073"	"2003"	"2003"	"Black or African American"	"2054-5"	2752	265681	1035.8	1274.4
	"Jefferson County, AL"	"01073"	"2003"	"2003"	"White"	"2106-3"	4557	368393	1237.0	957.7
	"Jefferson County, AL"	"01073"	"2004"	"2004"	"Black or African American"	"2054-5"	2668	267085	998.9	1223.7
	"Jefferson County, AL"	"01073"	"2004"	"2004"	"White"	"2106-3"	4482	363467	1233.1	946.8
	"Jefferson County, AL"	"01073"	"2005"	"2005"	"Black or African American"	"2054-5"	2735	268781	1017.6	1242.3
	"Jefferson County, AL"	"01073"	"2005"	"2005"	"White"	"2106-3"	4370	358626	1218.5	919.8
	"Jefferson County, AL"	"01073"	"2006"	"2006"	"Black or African American"	"2054-5"	2748	271507	1012.1	1223.4
	"Jefferson County, AL"	"01073"	"2006"	"2006"	"White"	"2106-3"	4301	354750	1212.4	903.8
	"Jefferson County, AL"	"01073"	"2007"	"2007"	"Black or African American"	"2054-5"	2613	272690	958.2	1153.7
	"Jefferson County, AL"	"01073"	"2007"	"2007"	"White"	"2106-3"	4239	350886	1208.1	895.1
	"Jefferson County, AL"	"01073"	"2008"	"2008"	"Black or African American"	"2054-5"	2676	274755	974.0	1155.9
	"Jefferson County, AL"	"01073"	"2008"	"2008"	"White"	"2106-3"	4413	348388	1266.7	926.2
	"Jefferson County, AL"	"01073"	"2009"	"2009"	"Black or African American"	"2054-5"	2525	277169	911.0	1073.8
	"Jefferson County, AL"	"01073"	"2009"	"2009"	"White"	"2106-3"	4227	345973	1221.8	885.3
	"Jefferson County, AL"	"01073"	"2010"	"2010"	"Black or African American"	"2054-5"	2516	278243	904.2	1051.5
	"Jefferson County, AL"	"01073"	"2010"	"2010"	"White"	"2106-3"	4250	343260	1238.1	890.0
	"Jefferson County, AL"	"01073"	"2011"	"2011"	"Black or African American"	"2054-5"	2627	278853	942.1	1075.0
	"Jefferson County, AL"	"01073"	"2011"	"2011"	"White"	"2106-3"	4146	341587	1213.7	865.9
	"Jefferson County, AL"	"01073"	"2012"	"2012"	"Black or African American"	"2054-5"	2556	281458	908.1	1015.2
	"Jefferson County, AL"	"01073"	"2012"	"2012"	"White"	"2106-3"	4237	340169	1245.6	881.8
	"Jefferson County, AL"	"01073"	"2013"	"2013"	"Black or African American"	"2054-5"	2615	282650	925.2	1034.8
	"Jefferson County, AL"	"01073"	"2013"	"2013"	"White"	"2106-3"	4312	339328	1270.7	891.1
	"Jefferson County, AL"	"01073"	"2014"	"2014"	"Black or African American"	"2054-5"	2585	283976	910.3	985.9
	"Jefferson County, AL"	"01073"	"2014"	"2014"	"White"	"2106-3"	4314	339106	1272.2	890.0
	"Jefferson County, AL"	"01073"	"2015"	"2015"	"Black or African American"	"2054-5"	2738	284914	961.0	1022.5
	"Jefferson County, AL"	"01073"	"2015"	"2015"	"White"	"2106-3"	4377	337246	1297.9	904.1
	"Jefferson County, AL"	"01073"	"2016"	"2016"	"Black or African American"	"2054-5"	2692	286951	938.1	977.3
	"Jefferson County, AL"	"01073"	"2016"	"2016"	"White"	"2106-3"	4372	334691	1306.3	900.5
	"Jefferson County, AL"	"01073"	"2017"	"2017"	"Black or African American"	"2054-5"	2798	287506	973.2	996.7
	"Jefferson County, AL"	"01073"	"2017"	"2017"	"White"	"2106-3"	4430	332351	1332.9	918.7
	"Jefferson County, AL"	"01073"	"2018"	"2018"	"Black or African American"	"2054-5"	2925	287740	1016.5	1032.0
	"Jefferson County, AL"	"01073"	"2018"	"2018"	"White"	"2106-3"	4450	331246	1343.4	914.2
	"Duval County, FL"	"12031"	"2000"	"2000"	"Black or African American"	"2054-5"	1728	218171	792.0	1189.3
	"Duval County, FL"	"12031"	"2000"	"2000"	"White"	"2106-3"	4814	502798	957.4	968.3
	"Duval County, FL"	"12031"	"2001"	"2001"	"Black or African American"	"2054-5"	1738	223361	778.1	1194.3
	"Duval County, FL"	"12031"	"2001"	"2001"	"White"	"2106-3"	5021	504602	995.0	977.7
	"Duval County, FL"	"12031"	"2002"	"2002"	"Black or African American"	"2054-5"	1764	227827	774.3	1180.3
	"Duval County, FL"	"12031"	"2002"	"2002"	"White"	"2106-3"	4792	505537	947.9	925.8
	"Duval County, FL"	"12031"	"2003"	"2003"	"Black or African American"	"2054-5"	1792	232377	771.2	1156.6
	"Duval County, FL"	"12031"	"2003"	"2003"	"White"	"2106-3"	4850	505306	959.8	924.9
	"Duval County, FL"	"12031"	"2004"	"2004"	"Black or African American"	"2054-5"	1749	237538	736.3	1120.7
	"Duval County, FL"	"12031"	"2004"	"2004"	"White"	"2106-3"	5107	504769	1011.7	969.6
	"Duval County, FL"	"12031"	"2005"	"2005"	"Black or African American"	"2054-5"	1770	241843	731.9	1093.0
	"Duval County, FL"	"12031"	"2005"	"2005"	"White"	"2106-3"	4957	503662	984.2	924.7
	"Duval County, FL"	"12031"	"2006"	"2006"	"Black or African American"	"2054-5"	1851	247152	748.9	1098.0
	"Duval County, FL"	"12031"	"2006"	"2006"	"White"	"2106-3"	4840	504783	958.8	884.2
