"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Jefferson County, AL"	"01073"	"2000"	"2000"	"Black or African American"	"2054-5"	2417	261304	925.0	1124.3
	"Jefferson County, AL"	"01073"	"2000"	"2000"	"White"	"2106-3"	4275	382469	1117.7	876.0
	"Jefferson County, AL"	"01073"	"2001"	"2001"	"Black or African American"	"2054-5"	2537	263244	963.7	1174.3
	"Jefferson County, AL"	"01073"	"2001"	"2001"	"White"	"2106-3"	4167	377031	1105.2	860.3
	"Jefferson County, AL"	"01073"	"2002"	"2002"	"Black or African American"	"2054-5"	2567	263881	972.8	1199.1
	"Jefferson County, AL"	"01073"	"2002"	"2002"	"White"	"2106-3"	4271	371901	1148.4	885.2
	"Jefferson County, AL"	"01073"	"2003"	"2003"	"Black or African American"	"2054-5"	2524	265681	950.0	1186.6
	"Jefferson County, AL"	"01073"	"2003"	"2003"	"White"	"2106-3"	4282	368393	1162.3	889.5
	"Jefferson County, AL"	"01073"	"2004"	"2004"	"Black or African American"	"2054-5"	2471	267085	925.2	1147.6
	"Jefferson County, AL"	"01073"	"2004"	"2004"	"White"	"2106-3"	4209	363467	1158.0	877.8
	"Jefferson County, AL"	"01073"	"2005"	"2005"	"Black or African American"	"2054-5"	2501	268781	930.5	1151.6
	"Jefferson County, AL"	"01073"	"2005"	"2005"	"White"	"2106-3"	4084	358626	1138.8	846.8
	"Jefferson County, AL"	"01073"	"2006"	"2006"	"Black or African American"	"2054-5"	2499	271507	920.4	1130.8
	"Jefferson County, AL"	"01073"	"2006"	"2006"	"White"	"2106-3"	4022	354750	1133.8	831.1
	"Jefferson County, AL"	"01073"	"2007"	"2007"	"Black or African American"	"2054-5"	2411	272690	884.2	1079.7
	"Jefferson County, AL"	"01073"	"2007"	"2007"	"White"	"2106-3"	3927	350886	1119.2	812.7
	"Jefferson County, AL"	"01073"	"2008"	"2008"	"Black or African American"	"2054-5"	2464	274755	896.8	1078.9
	"Jefferson County, AL"	"01073"	"2008"	"2008"	"White"	"2106-3"	4088	348388	1173.4	840.3
	"Jefferson County, AL"	"01073"	"2009"	"2009"	"Black or African American"	"2054-5"	2341	277169	844.6	1006.7
	"Jefferson County, AL"	"01073"	"2009"	"2009"	"White"	"2106-3"	3906	345973	1129.0	801.0
	"Jefferson County, AL"	"01073"	"2010"	"2010"	"Black or African American"	"2054-5"	2336	278243	839.6	987.3
	"Jefferson County, AL"	"01073"	"2010"	"2010"	"White"	"2106-3"	4004	343260	1166.5	823.8
	"Jefferson County, AL"	"01073"	"2011"	"2011"	"Black or African American"	"2054-5"	2421	278853	868.2	999.4
	"Jefferson County, AL"	"01073"	"2011"	"2011"	"White"	"2106-3"	3829	341587	1120.9	780.6
	"Jefferson County, AL"	"01073"	"2012"	"2012"	"Black or African American"	"2054-5"	2346	281458	833.5	938.5
	"Jefferson County, AL"	"01073"	"2012"	"2012"	"White"	"2106-3"	3956	340169	1163.0	806.2
	"Jefferson County, AL"	"01073"	"2013"	"2013"	"Black or African American"	"2054-5"	2427	282650	858.7	966.9
	"Jefferson County, AL"	"01073"	"2013"	"2013"	"White"	"2106-3"	4006	339328	1180.6	806.8
	"Jefferson County, AL"	"01073"	"2014"	"2014"	"Black or African American"	"2054-5"	2398	283976	844.4	917.6
	"Jefferson County, AL"	"01073"	"2014"	"2014"	"White"	"2106-3"	3958	339106	1167.2	795.3
	"Jefferson County, AL"	"01073"	"2015"	"2015"	"Black or African American"	"2054-5"	2486	284914	872.5	935.1
	"Jefferson County, AL"	"01073"	"2015"	"2015"	"White"	"2106-3"	4024	337246	1193.2	803.7
	"Jefferson County, AL"	"01073"	"2016"	"2016"	"Black or African American"	"2054-5"	2393	286951	833.9	871.3
	"Jefferson County, AL"	"01073"	"2016"	"2016"	"White"	"2106-3"	4010	334691	1198.1	798.5
	"Jefferson County, AL"	"01073"	"2017"	"2017"	"Black or African American"	"2054-5"	2499	287506	869.2	891.1
	"Jefferson County, AL"	"01073"	"2017"	"2017"	"White"	"2106-3"	4057	332351	1220.7	811.1
	"Jefferson County, AL"	"01073"	"2018"	"2018"	"Black or African American"	"2054-5"	2600	287740	903.6	917.2
	"Jefferson County, AL"	"01073"	"2018"	"2018"	"White"	"2106-3"	4114	331246	1242.0	818.5
	"Duval County, FL"	"12031"	"2000"	"2000"	"Black or African American"	"2054-5"	1592	218171	729.7	1123.4
	"Duval County, FL"	"12031"	"2000"	"2000"	"White"	"2106-3"	4475	502798	890.0	902.4
	"Duval County, FL"	"12031"	"2001"	"2001"	"Black or African American"	"2054-5"	1602	223361	717.2	1127.5
	"Duval County, FL"	"12031"	"2001"	"2001"	"White"	"2106-3"	4642	504602	919.9	904.1
	"Duval County, FL"	"12031"	"2002"	"2002"	"Black or African American"	"2054-5"	1613	227827	708.0	1108.5
	"Duval County, FL"	"12031"	"2002"	"2002"	"White"	"2106-3"	4397	505537	869.8	849.9
	"Duval County, FL"	"12031"	"2003"	"2003"	"Black or African American"	"2054-5"	1637	232377	704.5	1088.4
	"Duval County, FL"	"12031"	"2003"	"2003"	"White"	"2106-3"	4465	505306	883.6	851.3
	"Duval County, FL"	"12031"	"2004"	"2004"	"Black or African American"	"2054-5"	1593	237538	670.6	1050.1
	"Duval County, FL"	"12031"	"2004"	"2004"	"White"	"2106-3"	4708	504769	932.7	893.6
	"Duval County, FL"	"12031"	"2005"	"2005"	"Black or African American"	"2054-5"	1610	241843	665.7	1025.7
	"Duval County, FL"	"12031"	"2005"	"2005"	"White"	"2106-3"	4549	503662	903.2	847.7
	"Duval County, FL"	"12031"	"2006"	"2006"	"Black or African American"	"2054-5"	1676	247152	678.1	1025.2
	"Duval County, FL"	"12031"	"2006"	"2006"	"White"	"2106-3"	4413	504783	874.2	803.6
	"Duval County, FL"	"12031"	"2007"	"2007"	"Black or African American"	"2054-5"	1709	250838	681.3	1040.3
	"Duval County, FL"	"12031"	"2007"	"2007"	"White"	"2106-3"	4529	503990	898.6	805.8
	"Duval County, FL"	"12031"	"2008"	"2008"	"Black or African American"	"2054-5"	1691	253147	668.0	1011.6
	"Duval County, FL"	"12031"	"2008"	"2008"	"White"	"2106-3"	4662	501728	929.2	815.5
	"Duval County, FL"	"12031"	"2009"	"2009"	"Black or African American"	"2054-5"	1654	255465	647.4	943.5
	"Duval County, FL"	"12031"	"2009"	"2009"	"White"	"2106-3"	4589	499525	918.7	788.9
	"Duval County, FL"	"12031"	"2010"	"2010"	"Black or African American"	"2054-5"	1586	257352	616.3	903.0
	"Duval County, FL"	"12031"	"2010"	"2010"	"White"	"2106-3"	4663	499104	934.3	794.0
	"Duval County, FL"	"12031"	"2011"	"2011"	"Black or African American"	"2054-5"	1684	258272	652.0	900.5
