"facility_type","facility_type_description","subtype","subtype_description","permit_number","premise_name","premise_address","premise_city","premise_state","premise_zip","EHS","opening_date"
"610","RETAIL FOOD STORES","62","PRE-PACKAGED RETAIL","29956","CVS #6211","3721 LEXINGTON RD","LOUISVILLE","KY","40207","AREA1","1988-06-27 00:00:00"
"610","RETAIL FOOD STORES","61","SUPERMARKET WITH PROCESSING","30425","BIG LOTS #226","4121 SHELBYVILLE RD","LOUISVILLE","KY","40207","AREA1","1988-06-28 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","31","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","30972","KINDER CARE LEARNING CTR #420","730 ZORN AVE","LOUISVILLE","KY","40206","AREA1","1988-07-13 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","31","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","31145","ST. JOSEPH CHILD DEV. CTR","2823 FRANKFORT AVE","LOUISVILLE","KY","40206","AREA1","1988-07-13 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","32","FOOD SERVICE (HOSPITAL / NURSING HOME","31336","MASONIC HOMES MAIN KITCHEN","240 MASONIC HOME DR","MASONIC HOME","KY","40041","AREA1","1988-07-14 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","33","SCHOOL CAFETERIA OR FOOD SERVICE","31372","TRINITY HIGH SCHOOL","4011 SHELBYVILLE RD","LOUISVILLE","KY","40207","AREA1","2009-10-20 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","33","SCHOOL CAFETERIA OR FOOD SERVICE","31398","BARRETT MIDDLE SCHOOL","2561 GRINSTEAD DR","LOUISVILLE","KY","40206","AREA1","1989-02-28 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","33","SCHOOL CAFETERIA OR FOOD SERVICE","31458","OUR LADY OF LOURDES","510 BRECKENRIDGE LN","LOUISVILLE","KY","40207","AREA1","2009-10-20 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","33","SCHOOL CAFETERIA OR FOOD SERVICE","31512","EMMET FIELD SCHOOL","120 SACRED HEART LN","LOUISVILLE","KY","40206","AREA1","2009-10-20 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","33","SCHOOL CAFETERIA OR FOOD SERVICE","31802","WALDEN SCHOOL","4238 WESTPORT RD","LOUISVILLE","KY","40207","AREA1","2009-10-20 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","33","SCHOOL CAFETERIA OR FOOD SERVICE","31819","SACRED HEART MODEL SCHOOL","3107 LEXINGTON RD","LOUISVILLE","KY","40206","AREA1","2009-10-20 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","33","SCHOOL CAFETERIA OR FOOD SERVICE","31820","SACRED HEART ACADEMY","3175 LEXINGTON RD","LOUISVILLE","KY","40206","AREA1","2009-10-20 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","33","SCHOOL CAFETERIA OR FOOD SERVICE","31844","IMMACULATA CLASSICAL ACADEMY","440 ZORN AVE","LOUISVILLE","KY","40206","AREA1","2009-10-20 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","32112","CHEDDAR BOX","3909 CHENOWETH SQUARE","LOUISVILLE","KY","40207","AREA1","1988-07-26 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","33","SCHOOL CAFETERIA OR FOOD SERVICE","32756","CHENOWETH ELEMENTARY SCHOOL","3622 BROWNSBORO RD","LOUISVILLE","KY","40207","AREA1","1989-03-06 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","33","SCHOOL CAFETERIA OR FOOD SERVICE","32837","HOLY SPIRIT SCHOOL","320 CANNONS LN","LOUISVILLE","KY","40206","AREA1","2009-10-20 00:00:00"
"610","RETAIL FOOD STORES","62","PRE-PACKAGED RETAIL","32838","WALGREENS #02924","2368 FRANKFORT AVE","LOUISVILLE","KY","40206","AREA1","1993-01-27 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","33","SCHOOL CAFETERIA OR FOOD SERVICE","32840","HOLY TRINITY SCHOOL","423 CHERRYWOOD RD","LOUISVILLE","KY","40207","AREA1","2009-10-20 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","32841","PATRICK'S LIQUOR BAR","3202 FRANKFORT AVE","LOUISVILLE","KY","40206","AREA1","1988-07-29 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","33649","FISHERY","3624 LEXINGTON RD","LOUISVILLE","KY","40207","AREA1","1988-08-05 00:00:00"
"605","FOOD SERVICE ESTABLISHMENT","11","FOOD SERVICE","33826","211 CLOVER LANE","211 CLOVER LN","LOUISVILLE","KY","40207","AREA1","2005-02-23 00:00:00"
"610","RETAIL FOOD STORES","62","PRE-PACKAGED RETAIL","33899","UCHM SENIOR NUTRITION","150 S STATE ST","LOUISVILLE","KY","40206","AREA1","2005-06-13 00:00:00"
