year,geography,measure,adjustment,analysis,domain,condition,primary_sex,primary_age,primary_dual,fips,county,state,urban,primary_race,primary_eligibility,primary_denominator,analysis_value
2014,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,1003,Baldwin County,ALABAMA,Rural,American Indian/Alaska native,All,"11-499",42
2014,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,1053,Escambia County,ALABAMA,Rural,American Indian/Alaska native,All,"11-499",38
2014,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,1089,Madison County,ALABAMA,Urban,American Indian/Alaska native,All,"11-499",0
2014,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,1097,Mobile County,ALABAMA,Urban,American Indian/Alaska native,All,"11-499",53
2014,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,1099,Monroe County,ALABAMA,Rural,American Indian/Alaska native,All,"11-499",43
2014,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,2020,Anchorage Municipality,ALASKA,Urban,American Indian/Alaska native,All,"1,000-4,999",19
2014,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,2050,Bethel Census Area,ALASKA,Rural,American Indian/Alaska native,All,"500-999",7
2014,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,2060,Bristol Bay Borough,ALASKA,Rural,American Indian/Alaska native,All,"11-499",25
2014,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,2070,Dillingham Census Area,ALASKA,Rural,American Indian/Alaska native,All,"11-499",14
2014,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,2090,Fairbanks North Star Borough,ALASKA,Urban,American Indian/Alaska native,All,"500-999",38
2014,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,2100,Haines Borough,ALASKA,Rural,American Indian/Alaska native,All,"11-499",37
2014,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,2110,Juneau City and Borough,ALASKA,Rural,American Indian/Alaska native,All,"500-999",43
2014,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,2130,Ketchikan Gateway Borough,ALASKA,Rural,American Indian/Alaska native,All,"11-499",18
2014,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,2150,Kodiak Island Borough,ALASKA,Rural,American Indian/Alaska native,All,"11-499",44
2014,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,2170,Matanuska-Susitna Borough,ALASKA,Urban,American Indian/Alaska native,All,"11-499",27
2014,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,2180,Nome Census Area,ALASKA,Rural,American Indian/Alaska native,All,"500-999",5
2014,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,2220,Sitka City and Borough,ALASKA,Rural,American Indian/Alaska native,All,"11-499",44
2014,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,2230,Skagway Municipality,ALASKA,Rural,American Indian/Alaska native,All,"11-499",17
2014,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,2240,Southeast Fairbanks Census Area,ALASKA,Rural,American Indian/Alaska native,All,"11-499",25
2014,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,2270,Wade Hampton Census Area,ALASKA,Rural,American Indian/Alaska native,All,"11-499",7
2014,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,2290,Yukon-Koyukuk Census Area,ALASKA,Rural,American Indian/Alaska native,All,"11-499",37
2014,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,4001,Apache County,ARIZONA,Rural,American Indian/Alaska native,All,"5,000-9,999",45
2014,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,4003,Cochise County,ARIZONA,Rural,American Indian/Alaska native,All,"11-499",20
2014,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,4005,Coconino County,ARIZONA,Urban,American Indian/Alaska native,All,"1,000-4,999",20
2014,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,4007,Gila County,ARIZONA,Rural,American Indian/Alaska native,All,"500-999",14
