"Notes"	"Year"	"Year Code"	"County"	"County Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"1999"	"1999"	"Jefferson County, AL"	"01073"	"Black or African American"	"2054-5"	652	259939	250.8	311.6
	"1999"	"1999"	"Jefferson County, AL"	"01073"	"White"	"2106-3"	1164	385853	301.7	240.0
	"1999"	"1999"	"Marion County, IN"	"18097"	"Black or African American"	"2054-5"	507	209562	241.9	352.9
	"1999"	"1999"	"Marion County, IN"	"18097"	"White"	"2106-3"	1496	602319	248.4	248.8
	"1999"	"1999"	"Fayette County, KY"	"21067"	"Black or African American"	"2054-5"	85	35768	237.6	342.2
	"1999"	"1999"	"Fayette County, KY"	"21067"	"White"	"2106-3"	396	208098	190.3	214.3
	"1999"	"1999"	"Jefferson County, KY"	"21111"	"Black or African American"	"2054-5"	323	131995	244.7	335.1
	"1999"	"1999"	"Jefferson County, KY"	"21111"	"White"	"2106-3"	1506	537011	280.4	243.8
	"1999"	"1999"	"Kent County, MI"	"26081"	"Black or African American"	"2054-5"	73	52427	139.2	305.9
	"1999"	"1999"	"Kent County, MI"	"26081"	"White"	"2106-3"	878	465395	188.7	199.5
	"1999"	"1999"	"Jackson County, MO"	"29095"	"Black or African American"	"2054-5"	373	155016	240.6	334.9
	"1999"	"1999"	"Jackson County, MO"	"29095"	"White"	"2106-3"	1111	451911	245.8	216.7
	"1999"	"1999"	"St. Louis County, MO"	"29189"	"Black or African American"	"2054-5"	351	192690	182.2	301.3
	"1999"	"1999"	"St. Louis County, MO"	"29189"	"White"	"2106-3"	2076	783486	265.0	211.9
	"1999"	"1999"	"St. Louis city, MO"	"29510"	"Black or African American"	"2054-5"	536	180845	296.4	344.4
	"1999"	"1999"	"St. Louis city, MO"	"29510"	"White"	"2106-3"	501	154241	324.8	259.3
	"1999"	"1999"	"Douglas County, NE"	"31055"	"Black or African American"	"2054-5"	115	54682	210.3	347.5
	"1999"	"1999"	"Douglas County, NE"	"31055"	"White"	"2106-3"	821	366042	224.3	226.8
	"1999"	"1999"	"Guilford County, NC"	"37081"	"Black or African American"	"2054-5"	247	122430	201.7	314.9
	"1999"	"1999"	"Guilford County, NC"	"37081"	"White"	"2106-3"	633	267605	236.5	205.8
	"1999"	"1999"	"Mecklenburg County, NC"	"37119"	"Black or African American"	"2054-5"	301	191211	157.4	295.2
	"1999"	"1999"	"Mecklenburg County, NC"	"37119"	"White"	"2106-3"	775	427421	181.3	202.1
	"1999"	"1999"	"Franklin County, OH"	"39049"	"Black or African American"	"2054-5"	374	195879	190.9	312.1
	"1999"	"1999"	"Franklin County, OH"	"39049"	"White"	"2106-3"	1747	805495	216.9	246.2
	"1999"	"1999"	"Hamilton County, OH"	"39061"	"Black or African American"	"2054-5"	484	201117	240.7	324.1
	"1999"	"1999"	"Hamilton County, OH"	"39061"	"White"	"2106-3"	1804	623624	289.3	250.0
	"1999"	"1999"	"Oklahoma County, OK"	"40109"	"Black or African American"	"2054-5"	213	102459	207.9	343.7
	"1999"	"1999"	"Oklahoma County, OK"	"40109"	"White"	"2106-3"	1198	456921	262.2	226.6
	"1999"	"1999"	"Tulsa County, OK"	"40143"	"Black or African American"	"2054-5"	147	63878	230.1	396.4
	"1999"	"1999"	"Tulsa County, OK"	"40143"	"White"	"2106-3"	1069	424424	251.9	233.3
	"1999"	"1999"	"Greenville County, SC"	"45045"	"Black or African American"	"2054-5"	155	69183	224.0	329.3
