"Notes"	"Year"	"Year Code"	"County"	"County Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"1999"	"1999"	"Jefferson County, AL"	"01073"	"Black or African American"	"2054-5"	522	259939	200.8	249.9
	"1999"	"1999"	"Jefferson County, AL"	"01073"	"White"	"2106-3"	1041	385853	269.8	214.8
	"1999"	"1999"	"Marion County, IN"	"18097"	"Black or African American"	"2054-5"	426	209562	203.3	296.7
	"1999"	"1999"	"Marion County, IN"	"18097"	"White"	"2106-3"	1397	602319	231.9	232.4
	"1999"	"1999"	"Fayette County, KY"	"21067"	"Black or African American"	"2054-5"	70	35768	195.7	283.2
	"1999"	"1999"	"Fayette County, KY"	"21067"	"White"	"2106-3"	354	208098	170.1	191.7
	"1999"	"1999"	"Jefferson County, KY"	"21111"	"Black or African American"	"2054-5"	277	131995	209.9	287.1
	"1999"	"1999"	"Jefferson County, KY"	"21111"	"White"	"2106-3"	1352	537011	251.8	218.9
	"1999"	"1999"	"Kent County, MI"	"26081"	"Black or African American"	"2054-5"	61	52427	116.4	243.8
	"1999"	"1999"	"Kent County, MI"	"26081"	"White"	"2106-3"	796	465395	171.0	181.1
	"1999"	"1999"	"Jackson County, MO"	"29095"	"Black or African American"	"2054-5"	300	155016	193.5	269.3
	"1999"	"1999"	"Jackson County, MO"	"29095"	"White"	"2106-3"	1005	451911	222.4	196.0
	"1999"	"1999"	"St. Louis County, MO"	"29189"	"Black or African American"	"2054-5"	307	192690	159.3	263.3
	"1999"	"1999"	"St. Louis County, MO"	"29189"	"White"	"2106-3"	1854	783486	236.6	189.4
	"1999"	"1999"	"St. Louis city, MO"	"29510"	"Black or African American"	"2054-5"	436	180845	241.1	279.4
	"1999"	"1999"	"St. Louis city, MO"	"29510"	"White"	"2106-3"	431	154241	279.4	224.6
	"1999"	"1999"	"Douglas County, NE"	"31055"	"Black or African American"	"2054-5"	93	54682	170.1	282.1
	"1999"	"1999"	"Douglas County, NE"	"31055"	"White"	"2106-3"	755	366042	206.3	208.5
	"1999"	"1999"	"Guilford County, NC"	"37081"	"Black or African American"	"2054-5"	218	122430	178.1	278.5
	"1999"	"1999"	"Guilford County, NC"	"37081"	"White"	"2106-3"	598	267605	223.5	194.4
	"1999"	"1999"	"Mecklenburg County, NC"	"37119"	"Black or African American"	"2054-5"	240	191211	125.5	230.7
	"1999"	"1999"	"Mecklenburg County, NC"	"37119"	"White"	"2106-3"	717	427421	167.8	186.9
	"1999"	"1999"	"Franklin County, OH"	"39049"	"Black or African American"	"2054-5"	294	195879	150.1	242.3
	"1999"	"1999"	"Franklin County, OH"	"39049"	"White"	"2106-3"	1555	805495	193.0	218.9
	"1999"	"1999"	"Hamilton County, OH"	"39061"	"Black or African American"	"2054-5"	387	201117	192.4	257.8
	"1999"	"1999"	"Hamilton County, OH"	"39061"	"White"	"2106-3"	1567	623624	251.3	217.7
	"1999"	"1999"	"Oklahoma County, OK"	"40109"	"Black or African American"	"2054-5"	178	102459	173.7	287.2
	"1999"	"1999"	"Oklahoma County, OK"	"40109"	"White"	"2106-3"	1077	456921	235.7	203.8
	"1999"	"1999"	"Tulsa County, OK"	"40143"	"Black or African American"	"2054-5"	118	63878	184.7	317.9
	"1999"	"1999"	"Tulsa County, OK"	"40143"	"White"	"2106-3"	964	424424	227.1	210.4
	"1999"	"1999"	"Greenville County, SC"	"45045"	"Black or African American"	"2054-5"	121	69183	174.9	255.1
	"1999"	"1999"	"Greenville County, SC"	"45045"	"White"	"2106-3"	606	287093	211.1	199.7
	"1999"	"1999"	"Davidson County, TN"	"47037"	"Black or African American"	"2054-5"	290	148594	195.2	314.0
	"1999"	"1999"	"Davidson County, TN"	"47037"	"White"	"2106-3"	840	380226	220.9	206.6
	"1999"	"1999"	"Knox County, TN"	"47093"	"Black or African American"	"2054-5"	56	33572	166.8	224.1
	"1999"	"1999"	"Knox County, TN"	"47093"	"White"	"2106-3"	696	335736	207.3	197.9
	"1999"	"1999"	"Shelby County, TN"	"47157"	"Black or African American"	"2054-5"	803	433218	185.4	293.4
	"1999"	"1999"	"Shelby County, TN"	"47157"	"White"	"2106-3"	869	422850	205.5	191.1
	"2000"	"2000"	"Jefferson County, AL"	"01073"	"Black or African American"	"2054-5"	512	261304	195.9	241.1
	"2000"	"2000"	"Jefferson County, AL"	"01073"	"White"	"2106-3"	982	382469	256.8	203.7
	"2000"	"2000"	"Marion County, IN"	"18097"	"Black or African American"	"2054-5"	384	211815	181.3	266.8
	"2000"	"2000"	"Marion County, IN"	"18097"	"White"	"2106-3"	1340	599103	223.7	222.4
	"2000"	"2000"	"Fayette County, KY"	"21067"	"Black or African American"	"2054-5"	69	35999	191.7	280.9
	"2000"	"2000"	"Fayette County, KY"	"21067"	"White"	"2106-3"	362	208601	173.5	192.7
	"2000"	"2000"	"Jefferson County, KY"	"21111"	"Black or African American"	"2054-5"	294	133117	220.9	302.4
	"2000"	"2000"	"Jefferson County, KY"	"21111"	"White"	"2106-3"	1405	535942	262.2	226.3
	"2000"	"2000"	"Kent County, MI"	"26081"	"Black or African American"	"2054-5"	73	53230	137.1	266.8
	"2000"	"2000"	"Kent County, MI"	"26081"	"White"	"2106-3"	802	466355	172.0	181.1
	"2000"	"2000"	"Jackson County, MO"	"29095"	"Black or African American"	"2054-5"	296	155464	190.4	272.2
	"2000"	"2000"	"Jackson County, MO"	"29095"	"White"	"2106-3"	1054	449931	234.3	205.7
	"2000"	"2000"	"St. Louis County, MO"	"29189"	"Black or African American"	"2054-5"	295	196206	150.4	245.0
	"2000"	"2000"	"St. Louis County, MO"	"29189"	"White"	"2106-3"	1787	778630	229.5	182.1
	"2000"	"2000"	"St. Louis city, MO"	"29510"	"Black or African American"	"2054-5"	438	180069	243.2	282.2
	"2000"	"2000"	"St. Louis city, MO"	"29510"	"White"	"2106-3"	427	152304	280.4	223.2
	"2000"	"2000"	"Douglas County, NE"	"31055"	"Black or African American"	"2054-5"	86	55358	155.4	253.1
	"2000"	"2000"	"Douglas County, NE"	"31055"	"White"	"2106-3"	714	365763	195.2	196.1
	"2000"	"2000"	"Guilford County, NC"	"37081"	"Black or African American"	"2054-5"	196	124501	157.4	251.3
