"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	"Black or African American"	"2054-5"	1914	142964	1338.8
	"1999"	"1999"	"< 1 year"	"0"	"White"	"2106-3"	2910	548385	530.6
	"1999"	"1999"	"1 year"	"1"	"Black or African American"	"2054-5"	120	145275	82.6
	"1999"	"1999"	"1 year"	"1"	"White"	"2106-3"	221	554732	39.8
	"1999"	"1999"	"2 years"	"2"	"Black or African American"	"2054-5"	74	146938	50.4
	"1999"	"1999"	"2 years"	"2"	"White"	"2106-3"	165	553919	29.8
	"1999"	"1999"	"3 years"	"3"	"Black or African American"	"2054-5"	52	149326	34.8
	"1999"	"1999"	"3 years"	"3"	"White"	"2106-3"	153	582017	26.3
	"1999"	"1999"	"4 years"	"4"	"Black or African American"	"2054-5"	42	164258	25.6
	"1999"	"1999"	"4 years"	"4"	"White"	"2106-3"	116	594904	19.5
	"1999"	"1999"	"5 years"	"5"	"Black or African American"	"2054-5"	52	167149	31.1
	"1999"	"1999"	"5 years"	"5"	"White"	"2106-3"	97	607754	16.0
	"1999"	"1999"	"6 years"	"6"	"Black or African American"	"2054-5"	49	171087	28.6
	"1999"	"1999"	"6 years"	"6"	"White"	"2106-3"	90	620170	14.5
	"1999"	"1999"	"7 years"	"7"	"Black or African American"	"2054-5"	48	174629	27.5
	"1999"	"1999"	"7 years"	"7"	"White"	"2106-3"	91	638160	14.3
	"1999"	"1999"	"8 years"	"8"	"Black or African American"	"2054-5"	33	174409	18.9
	"1999"	"1999"	"8 years"	"8"	"White"	"2106-3"	97	662110	14.7
	"1999"	"1999"	"9 years"	"9"	"Black or African American"	"2054-5"	36	186064	19.3
	"1999"	"1999"	"9 years"	"9"	"White"	"2106-3"	99	652964	15.2
	"1999"	"1999"	"10 years"	"10"	"Black or African American"	"2054-5"	37	176894	20.9
	"1999"	"1999"	"10 years"	"10"	"White"	"2106-3"	97	648597	15.0
	"1999"	"1999"	"11 years"	"11"	"Black or African American"	"2054-5"	48	166368	28.9
	"1999"	"1999"	"11 years"	"11"	"White"	"2106-3"	96	638199	15.0
	"1999"	"1999"	"12 years"	"12"	"Black or African American"	"2054-5"	32	162291	19.7
	"1999"	"1999"	"12 years"	"12"	"White"	"2106-3"	99	646341	15.3
	"1999"	"1999"	"13 years"	"13"	"Black or African American"	"2054-5"	60	155765	38.5
	"1999"	"1999"	"13 years"	"13"	"White"	"2106-3"	122	643459	19.0
	"1999"	"1999"	"14 years"	"14"	"Black or African American"	"2054-5"	49	157319	31.1
	"1999"	"1999"	"14 years"	"14"	"White"	"2106-3"	160	645999	24.8
	"1999"	"1999"	"15 years"	"15"	"Black or African American"	"2054-5"	68	151389	44.9
	"1999"	"1999"	"15 years"	"15"	"White"	"2106-3"	199	627031	31.7
	"1999"	"1999"	"16 years"	"16"	"Black or African American"	"2054-5"	91	154173	59.0
	"1999"	"1999"	"16 years"	"16"	"White"	"2106-3"	329	639091	51.5
	"1999"	"1999"	"17 years"	"17"	"Black or African American"	"2054-5"	140	154757	90.5
	"1999"	"1999"	"17 years"	"17"	"White"	"2106-3"	397	635270	62.5
	"1999"	"1999"	"18 years"	"18"	"Black or African American"	"2054-5"	155	145903	106.2
	"1999"	"1999"	"18 years"	"18"	"White"	"2106-3"	441	611178	72.2
	"1999"	"1999"	"19 years"	"19"	"Black or African American"	"2054-5"	201	151235	132.9
	"1999"	"1999"	"19 years"	"19"	"White"	"2106-3"	481	631735	76.1
	"1999"	"1999"	"20 years"	"20"	"Black or African American"	"2054-5"	174	143458	121.3
	"1999"	"1999"	"20 years"	"20"	"White"	"2106-3"	519	593579	87.4
	"1999"	"1999"	"21 years"	"21"	"Black or African American"	"2054-5"	193	133727	144.3
	"1999"	"1999"	"21 years"	"21"	"White"	"2106-3"	503	568370	88.5
	"1999"	"1999"	"22 years"	"22"	"Black or African American"	"2054-5"	199	133983	148.5
	"1999"	"1999"	"22 years"	"22"	"White"	"2106-3"	415	557947	74.4
	"1999"	"1999"	"23 years"	"23"	"Black or African American"	"2054-5"	218	125086	174.3
	"1999"	"1999"	"23 years"	"23"	"White"	"2106-3"	414	534728	77.4
	"1999"	"1999"	"24 years"	"24"	"Black or African American"	"2054-5"	190	128544	147.8
	"1999"	"1999"	"24 years"	"24"	"White"	"2106-3"	406	558665	72.7
	"1999"	"1999"	"25 years"	"25"	"Black or African American"	"2054-5"	191	128453	148.7
	"1999"	"1999"	"25 years"	"25"	"White"	"2106-3"	403	559480	72.0
	"1999"	"1999"	"26 years"	"26"	"Black or African American"	"2054-5"	168	130257	129.0
	"1999"	"1999"	"26 years"	"26"	"White"	"2106-3"	420	568224	73.9
	"1999"	"1999"	"27 years"	"27"	"Black or African American"	"2054-5"	201	138538	145.1
	"1999"	"1999"	"27 years"	"27"	"White"	"2106-3"	452	624010	72.4
	"1999"	"1999"	"28 years"	"28"	"Black or African American"	"2054-5"	227	144147	157.5
	"1999"	"1999"	"28 years"	"28"	"White"	"2106-3"	510	680562	74.9
	"1999"	"1999"	"29 years"	"29"	"Black or African American"	"2054-5"	228	147503	154.6
	"1999"	"1999"	"29 years"	"29"	"White"	"2106-3"	544	705324	77.1
	"1999"	"1999"	"30 years"	"30"	"Black or African American"	"2054-5"	238	146880	162.0
	"1999"	"1999"	"30 years"	"30"	"White"	"2106-3"	528	712192	74.1
	"1999"	"1999"	"31 years"	"31"	"Black or African American"	"2054-5"	256	141186	181.3
	"1999"	"1999"	"31 years"	"31"	"White"	"2106-3"	619	665996	92.9
	"1999"	"1999"	"32 years"	"32"	"Black or African American"	"2054-5"	260	142276	182.7
	"1999"	"1999"	"32 years"	"32"	"White"	"2106-3"	693	695051	99.7
	"1999"	"1999"	"33 years"	"33"	"Black or African American"	"2054-5"	325	148037	219.5
	"1999"	"1999"	"33 years"	"33"	"White"	"2106-3"	739	704917	104.8
	"1999"	"1999"	"34 years"	"34"	"Black or African American"	"2054-5"	350	156145	224.2
	"1999"	"1999"	"34 years"	"34"	"White"	"2106-3"	803	763735	105.1
	"1999"	"1999"	"35 years"	"35"	"Black or African American"	"2054-5"	326	163518	199.4
	"1999"	"1999"	"35 years"	"35"	"White"	"2106-3"	935	819694	114.1
	"1999"	"1999"	"36 years"	"36"	"Black or African American"	"2054-5"	419	157411	266.2
	"1999"	"1999"	"36 years"	"36"	"White"	"2106-3"	991	816256	121.4
	"1999"	"1999"	"37 years"	"37"	"Black or African American"	"2054-5"	435	158223	274.9
	"1999"	"1999"	"37 years"	"37"	"White"	"2106-3"	1187	844302	140.6
	"1999"	"1999"	"38 years"	"38"	"Black or African American"	"2054-5"	463	153231	302.2
	"1999"	"1999"	"38 years"	"38"	"White"	"2106-3"	1332	836477	159.2
	"1999"	"1999"	"39 years"	"39"	"Black or African American"	"2054-5"	493	158390	311.3
	"1999"	"1999"	"39 years"	"39"	"White"	"2106-3"	1353	861452	157.1
	"1999"	"1999"	"40 years"	"40"	"Black or African American"	"2054-5"	518	159829	324.1
	"1999"	"1999"	"40 years"	"40"	"White"	"2106-3"	1500	875085	171.4
