"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	"Black or African American"	"2054-5"	1861	139453	1334.5
	"1999"	"1999"	"< 1 year"	"0"	"White"	"2106-3"	2907	547698	530.8
	"1999"	"1999"	"1 year"	"1"	"Black or African American"	"2054-5"	118	141747	83.2
	"1999"	"1999"	"1 year"	"1"	"White"	"2106-3"	221	553938	39.9
	"1999"	"1999"	"2 years"	"2"	"Black or African American"	"2054-5"	77	143134	53.8
	"1999"	"1999"	"2 years"	"2"	"White"	"2106-3"	164	553189	29.6
	"1999"	"1999"	"3 years"	"3"	"Black or African American"	"2054-5"	49	145459	33.7
	"1999"	"1999"	"3 years"	"3"	"White"	"2106-3"	152	581260	26.2
	"1999"	"1999"	"4 years"	"4"	"Black or African American"	"2054-5"	39	160172	24.3
	"1999"	"1999"	"4 years"	"4"	"White"	"2106-3"	113	594020	19.0
	"1999"	"1999"	"5 years"	"5"	"Black or African American"	"2054-5"	47	162870	28.9
	"1999"	"1999"	"5 years"	"5"	"White"	"2106-3"	98	606845	16.1
	"1999"	"1999"	"6 years"	"6"	"Black or African American"	"2054-5"	48	166914	28.8
	"1999"	"1999"	"6 years"	"6"	"White"	"2106-3"	92	619516	14.9
	"1999"	"1999"	"7 years"	"7"	"Black or African American"	"2054-5"	47	170211	27.6
	"1999"	"1999"	"7 years"	"7"	"White"	"2106-3"	91	637235	14.3
	"1999"	"1999"	"8 years"	"8"	"Black or African American"	"2054-5"	33	169983	19.4
	"1999"	"1999"	"8 years"	"8"	"White"	"2106-3"	98	661186	14.8
	"1999"	"1999"	"9 years"	"9"	"Black or African American"	"2054-5"	33	181581	18.2
	"1999"	"1999"	"9 years"	"9"	"White"	"2106-3"	97	652314	14.9
	"1999"	"1999"	"10 years"	"10"	"Black or African American"	"2054-5"	39	173000	22.5
	"1999"	"1999"	"10 years"	"10"	"White"	"2106-3"	101	647828	15.6
	"1999"	"1999"	"11 years"	"11"	"Black or African American"	"2054-5"	48	162424	29.6
	"1999"	"1999"	"11 years"	"11"	"White"	"2106-3"	93	637578	14.6
	"1999"	"1999"	"12 years"	"12"	"Black or African American"	"2054-5"	30	158573	18.9
	"1999"	"1999"	"12 years"	"12"	"White"	"2106-3"	101	645754	15.6
