"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	"Black or African American"	"2054-5"	1792	136504	1312.8
	"1999"	"1999"	"< 1 year"	"0"	"White"	"2106-3"	2897	547068	529.6
	"1999"	"1999"	"1 year"	"1"	"Black or African American"	"2054-5"	113	138685	81.5
	"1999"	"1999"	"1 year"	"1"	"White"	"2106-3"	220	553239	39.8
	"1999"	"1999"	"2 years"	"2"	"Black or African American"	"2054-5"	72	140178	51.4
	"1999"	"1999"	"2 years"	"2"	"White"	"2106-3"	163	552439	29.5
	"1999"	"1999"	"3 years"	"3"	"Black or African American"	"2054-5"	47	142610	33.0
	"1999"	"1999"	"3 years"	"3"	"White"	"2106-3"	152	580607	26.2
	"1999"	"1999"	"4 years"	"4"	"Black or African American"	"2054-5"	38	157182	24.2
	"1999"	"1999"	"4 years"	"4"	"White"	"2106-3"	113	593280	19.0
	"1999"	"1999"	"5 years"	"5"	"Black or African American"	"2054-5"	47	159652	29.4
	"1999"	"1999"	"5 years"	"5"	"White"	"2106-3"	97	606258	16.0
	"1999"	"1999"	"6 years"	"6"	"Black or African American"	"2054-5"	47	163644	28.7
	"1999"	"1999"	"6 years"	"6"	"White"	"2106-3"	90	618759	14.5
	"1999"	"1999"	"7 years"	"7"	"Black or African American"	"2054-5"	46	166894	27.6
	"1999"	"1999"	"7 years"	"7"	"White"	"2106-3"	91	636676	14.3
	"1999"	"1999"	"8 years"	"8"	"Black or African American"	"2054-5"	31	166841	18.6
	"1999"	"1999"	"8 years"	"8"	"White"	"2106-3"	97	660468	14.7
	"1999"	"1999"	"9 years"	"9"	"Black or African American"	"2054-5"	33	178413	18.5
	"1999"	"1999"	"9 years"	"9"	"White"	"2106-3"	99	651497	15.2
	"1999"	"1999"	"10 years"	"10"	"Black or African American"	"2054-5"	36	169646	21.2
	"1999"	"1999"	"10 years"	"10"	"White"	"2106-3"	97	647047	15.0
	"1999"	"1999"	"11 years"	"11"	"Black or African American"	"2054-5"	48	159263	30.1
	"1999"	"1999"	"11 years"	"11"	"White"	"2106-3"	93	636773	14.6
	"1999"	"1999"	"12 years"	"12"	"Black or African American"	"2054-5"	30	155320	19.3
	"1999"	"1999"	"12 years"	"12"	"White"	"2106-3"	100	644588	15.5
	"1999"	"1999"	"13 years"	"13"	"Black or African American"	"2054-5"	57	149185	38.2
	"1999"	"1999"	"13 years"	"13"	"White"	"2106-3"	120	641850	18.7
	"1999"	"1999"	"14 years"	"14"	"Black or African American"	"2054-5"	47	150727	31.2
	"1999"	"1999"	"14 years"	"14"	"White"	"2106-3"	159	644298	24.7
	"1999"	"1999"	"15 years"	"15"	"Black or African American"	"2054-5"	63	144791	43.5
	"1999"	"1999"	"15 years"	"15"	"White"	"2106-3"	198	625321	31.7
	"1999"	"1999"	"16 years"	"16"	"Black or African American"	"2054-5"	85	147820	57.5
	"1999"	"1999"	"16 years"	"16"	"White"	"2106-3"	327	637243	51.3
	"1999"	"1999"	"17 years"	"17"	"Black or African American"	"2054-5"	132	148329	89.0
	"1999"	"1999"	"17 years"	"17"	"White"	"2106-3"	395	633397	62.4
	"1999"	"1999"	"18 years"	"18"	"Black or African American"	"2054-5"	149	139924	106.5
	"1999"	"1999"	"18 years"	"18"	"White"	"2106-3"	437	609854	71.7
	"1999"	"1999"	"19 years"	"19"	"Black or African American"	"2054-5"	195	144825	134.6
	"1999"	"1999"	"19 years"	"19"	"White"	"2106-3"	482	630913	76.4
	"1999"	"1999"	"20 years"	"20"	"Black or African American"	"2054-5"	165	137550	120.0
	"1999"	"1999"	"20 years"	"20"	"White"	"2106-3"	520	592581	87.8
	"1999"	"1999"	"21 years"	"21"	"Black or African American"	"2054-5"	183	128390	142.5
	"1999"	"1999"	"21 years"	"21"	"White"	"2106-3"	502	567347	88.5
	"1999"	"1999"	"22 years"	"22"	"Black or African American"	"2054-5"	186	128796	144.4
	"1999"	"1999"	"22 years"	"22"	"White"	"2106-3"	417	556532	74.9
	"1999"	"1999"	"23 years"	"23"	"Black or African American"	"2054-5"	206	119922	171.8
	"1999"	"1999"	"23 years"	"23"	"White"	"2106-3"	413	532949	77.5
	"1999"	"1999"	"24 years"	"24"	"Black or African American"	"2054-5"	175	123190	142.1
	"1999"	"1999"	"24 years"	"24"	"White"	"2106-3"	405	556677	72.8
	"1999"	"1999"	"25 years"	"25"	"Black or African American"	"2054-5"	174	122861	141.6
	"1999"	"1999"	"25 years"	"25"	"White"	"2106-3"	399	557387	71.6
	"1999"	"1999"	"26 years"	"26"	"Black or African American"	"2054-5"	163	124746	130.7
	"1999"	"1999"	"26 years"	"26"	"White"	"2106-3"	421	566396	74.3
	"1999"	"1999"	"27 years"	"27"	"Black or African American"	"2054-5"	189	132698	142.4
	"1999"	"1999"	"27 years"	"27"	"White"	"2106-3"	450	622104	72.3
	"1999"	"1999"	"28 years"	"28"	"Black or African American"	"2054-5"	216	138282	156.2
	"1999"	"1999"	"28 years"	"28"	"White"	"2106-3"	508	678624	74.9
	"1999"	"1999"	"29 years"	"29"	"Black or African American"	"2054-5"	219	141782	154.5
	"1999"	"1999"	"29 years"	"29"	"White"	"2106-3"	539	703268	76.6
	"1999"	"1999"	"30 years"	"30"	"Black or African American"	"2054-5"	230	141282	162.8
	"1999"	"1999"	"30 years"	"30"	"White"	"2106-3"	529	710090	74.5
	"1999"	"1999"	"31 years"	"31"	"Black or African American"	"2054-5"	243	135952	178.7
	"1999"	"1999"	"31 years"	"31"	"White"	"2106-3"	616	664226	92.7
	"1999"	"1999"	"32 years"	"32"	"Black or African American"	"2054-5"	246	136993	179.6
	"1999"	"1999"	"32 years"	"32"	"White"	"2106-3"	695	693276	100.2
	"1999"	"1999"	"33 years"	"33"	"Black or African American"	"2054-5"	308	142686	215.9
	"1999"	"1999"	"33 years"	"33"	"White"	"2106-3"	738	703091	105.0
	"1999"	"1999"	"34 years"	"34"	"Black or African American"	"2054-5"	331	150296	220.2
	"1999"	"1999"	"34 years"	"34"	"White"	"2106-3"	803	761784	105.4
	"1999"	"1999"	"35 years"	"35"	"Black or African American"	"2054-5"	312	157663	197.9
	"1999"	"1999"	"35 years"	"35"	"White"	"2106-3"	931	817638	113.9
	"1999"	"1999"	"36 years"	"36"	"Black or African American"	"2054-5"	399	151713	263.0
	"1999"	"1999"	"36 years"	"36"	"White"	"2106-3"	991	813864	121.8
	"1999"	"1999"	"37 years"	"37"	"Black or African American"	"2054-5"	405	152616	265.4
	"1999"	"1999"	"37 years"	"37"	"White"	"2106-3"	1184	841866	140.6
	"1999"	"1999"	"38 years"	"38"	"Black or African American"	"2054-5"	449	147753	303.9
	"1999"	"1999"	"38 years"	"38"	"White"	"2106-3"	1328	834120	159.2
	"1999"	"1999"	"39 years"	"39"	"Black or African American"	"2054-5"	472	152459	309.6
	"1999"	"1999"	"39 years"	"39"	"White"	"2106-3"	1348	859165	156.9
	"1999"	"1999"	"40 years"	"40"	"Black or African American"	"2054-5"	491	154094	318.6
	"1999"	"1999"	"40 years"	"40"	"White"	"2106-3"	1494	872405	171.3
	"1999"	"1999"	"41 years"	"41"	"Black or African American"	"2054-5"	569	139301	408.5
	"1999"	"1999"	"41 years"	"41"	"White"	"2106-3"	1640	841667	194.9
	"1999"	"1999"	"42 years"	"42"	"Black or African American"	"2054-5"	587	140615	417.5
	"1999"	"1999"	"42 years"	"42"	"White"	"2106-3"	1688	858708	196.6
	"1999"	"1999"	"43 years"	"43"	"Black or African American"	"2054-5"	656	135040	485.8
	"1999"	"1999"	"43 years"	"43"	"White"	"2106-3"	1865	819446	227.6
	"1999"	"1999"	"44 years"	"44"	"Black or African American"	"2054-5"	693	128915	537.6
	"1999"	"1999"	"44 years"	"44"	"White"	"2106-3"	2051	816048	251.3
	"1999"	"1999"	"45 years"	"45"	"Black or African American"	"2054-5"	718	125762	570.9
	"1999"	"1999"	"45 years"	"45"	"White"	"2106-3"	2231	822335	271.3
	"1999"	"1999"	"46 years"	"46"	"Black or African American"	"2054-5"	734	113258	648.1
	"1999"	"1999"	"46 years"	"46"	"White"	"2106-3"	2300	776329	296.3
	"1999"	"1999"	"47 years"	"47"	"Black or African American"	"2054-5"	769	113352	678.4
	"1999"	"1999"	"47 years"	"47"	"White"	"2106-3"	2348	777040	302.2
	"1999"	"1999"	"48 years"	"48"	"Black or African American"	"2054-5"	753	109818	685.7
	"1999"	"1999"	"48 years"	"48"	"White"	"2106-3"	2550	726764	350.9
	"1999"	"1999"	"49 years"	"49"	"Black or African American"	"2054-5"	831	108578	765.3
