"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	"Black or African American"	"2054-5"	1335	89015	1499.7
	"1999"	"1999"	"< 1 year"	"0"	"White"	"2106-3"	910	171633	530.2
	"1999"	"1999"	"1 year"	"1"	"Black or African American"	"2054-5"	97	90896	106.7
	"1999"	"1999"	"1 year"	"1"	"White"	"2106-3"	59	171355	34.4
	"1999"	"1999"	"2 years"	"2"	"Black or African American"	"2054-5"	53	91414	58.0
	"1999"	"1999"	"2 years"	"2"	"White"	"2106-3"	57	169049	33.7
	"1999"	"1999"	"3 years"	"3"	"Black or African American"	"2054-5"	38	94215	40.3
	"1999"	"1999"	"3 years"	"3"	"White"	"2106-3"	38	176471	21.5
	"1999"	"1999"	"4 years"	"4"	"Black or African American"	"2054-5"	32	102977	31.1
	"1999"	"1999"	"4 years"	"4"	"White"	"2106-3"	20	176936	11.3
	"1999"	"1999"	"5 years"	"5"	"Black or African American"	"2054-5"	34	106404	32.0
	"1999"	"1999"	"5 years"	"5"	"White"	"2106-3"	24	179738	13.4
	"1999"	"1999"	"6 years"	"6"	"Black or African American"	"2054-5"	30	108283	27.7
	"1999"	"1999"	"6 years"	"6"	"White"	"2106-3"	26	181183	14.4
	"1999"	"1999"	"7 years"	"7"	"Black or African American"	"2054-5"	32	109248	29.3
	"1999"	"1999"	"7 years"	"7"	"White"	"2106-3"	25	185096	13.5
	"1999"	"1999"	"8 years"	"8"	"Black or African American"	"2054-5"	28	109301	25.6
	"1999"	"1999"	"8 years"	"8"	"White"	"2106-3"	19	191485	Unreliable
	"1999"	"1999"	"9 years"	"9"	"Black or African American"	"2054-5"	26	113115	23.0
	"1999"	"1999"	"9 years"	"9"	"White"	"2106-3"	23	186910	12.3
	"1999"	"1999"	"10 years"	"10"	"Black or African American"	"2054-5"	24	109910	21.8
	"1999"	"1999"	"10 years"	"10"	"White"	"2106-3"	29	185740	15.6
	"1999"	"1999"	"11 years"	"11"	"Black or African American"	"2054-5"	29	102930	28.2
	"1999"	"1999"	"11 years"	"11"	"White"	"2106-3"	31	181978	17.0
	"1999"	"1999"	"12 years"	"12"	"Black or African American"	"2054-5"	18	100031	Unreliable
	"1999"	"1999"	"12 years"	"12"	"White"	"2106-3"	35	183194	19.1
	"1999"	"1999"	"13 years"	"13"	"Black or African American"	"2054-5"	40	97234	41.1
	"1999"	"1999"	"13 years"	"13"	"White"	"2106-3"	24	181770	13.2
	"1999"	"1999"	"14 years"	"14"	"Black or African American"	"2054-5"	41	97855	41.9
	"1999"	"1999"	"14 years"	"14"	"White"	"2106-3"	35	181958	19.2
	"1999"	"1999"	"15 years"	"15"	"Black or African American"	"2054-5"	55	95250	57.7
	"1999"	"1999"	"15 years"	"15"	"White"	"2106-3"	49	175674	27.9
	"1999"	"1999"	"16 years"	"16"	"Black or African American"	"2054-5"	70	95816	73.1
	"1999"	"1999"	"16 years"	"16"	"White"	"2106-3"	73	179123	40.8
	"1999"	"1999"	"17 years"	"17"	"Black or African American"	"2054-5"	113	95939	117.8
	"1999"	"1999"	"17 years"	"17"	"White"	"2106-3"	104	178259	58.3
	"1999"	"1999"	"18 years"	"18"	"Black or African American"	"2054-5"	113	88049	128.3
	"1999"	"1999"	"18 years"	"18"	"White"	"2106-3"	110	170656	64.5
	"1999"	"1999"	"19 years"	"19"	"Black or African American"	"2054-5"	141	88275	159.7
	"1999"	"1999"	"19 years"	"19"	"White"	"2106-3"	110	174453	63.1
	"1999"	"1999"	"20 years"	"20"	"Black or African American"	"2054-5"	134	83624	160.2
	"1999"	"1999"	"20 years"	"20"	"White"	"2106-3"	138	167955	82.2
	"1999"	"1999"	"21 years"	"21"	"Black or African American"	"2054-5"	147	77593	189.5
	"1999"	"1999"	"21 years"	"21"	"White"	"2106-3"	145	164949	87.9
	"1999"	"1999"	"22 years"	"22"	"Black or African American"	"2054-5"	153	78497	194.9
	"1999"	"1999"	"22 years"	"22"	"White"	"2106-3"	130	173631	74.9
	"1999"	"1999"	"23 years"	"23"	"Black or African American"	"2054-5"	147	75356	195.1
	"1999"	"1999"	"23 years"	"23"	"White"	"2106-3"	123	180855	68.0
	"1999"	"1999"	"24 years"	"24"	"Black or African American"	"2054-5"	148	78513	188.5
	"1999"	"1999"	"24 years"	"24"	"White"	"2106-3"	127	195370	65.0
	"1999"	"1999"	"25 years"	"25"	"Black or African American"	"2054-5"	122	79575	153.3
	"1999"	"1999"	"25 years"	"25"	"White"	"2106-3"	140	198334	70.6
	"1999"	"1999"	"26 years"	"26"	"Black or African American"	"2054-5"	123	80472	152.8
	"1999"	"1999"	"26 years"	"26"	"White"	"2106-3"	123	200378	61.4
	"1999"	"1999"	"27 years"	"27"	"Black or African American"	"2054-5"	149	86179	172.9
	"1999"	"1999"	"27 years"	"27"	"White"	"2106-3"	141	217957	64.7
	"1999"	"1999"	"28 years"	"28"	"Black or African American"	"2054-5"	173	88213	196.1
	"1999"	"1999"	"28 years"	"28"	"White"	"2106-3"	170	235443	72.2
	"1999"	"1999"	"29 years"	"29"	"Black or African American"	"2054-5"	180	88702	202.9
	"1999"	"1999"	"29 years"	"29"	"White"	"2106-3"	199	241167	82.5
	"1999"	"1999"	"30 years"	"30"	"Black or African American"	"2054-5"	167	87427	191.0
	"1999"	"1999"	"30 years"	"30"	"White"	"2106-3"	176	243082	72.4
	"1999"	"1999"	"31 years"	"31"	"Black or African American"	"2054-5"	184	83841	219.5
	"1999"	"1999"	"31 years"	"31"	"White"	"2106-3"	219	223306	98.1
