2010 Based Geography -- PUMA to POWPUMA/MIGPUMA Relationship,,,
,,,
State of Residence (ST),PUMA,Place of Work State (PWSTATE2) or Migration State (MIGPLAC1),PWPUMA00 or MIGPUMA1
6,7704,6,7700
6,7901,6,7900
6,7902,6,7900
6,8101,6,8100
6,8102,6,8100
6,8103,6,8100
6,8104,6,8100
6,8105,6,8100
6,8106,6,8100
6,8301,6,8300
6,8302,6,8300
6,8303,6,8300
6,8501,6,8500
6,8502,6,8500
6,8503,6,8500
6,8504,6,8500
6,8505,6,8500
6,8506,6,8500
6,8507,6,8500
6,8508,6,8500
6,8509,6,8500
6,8510,6,8500
6,8511,6,8500
6,8512,6,8500
6,8513,6,8500
6,8514,6,8500
6,8701,6,8700
6,8702,6,8700
6,8900,6,8900
6,9501,6,9500
6,9502,6,9500
6,9503,6,9500
6,9701,6,9700
6,9702,6,9700
6,9703,6,9700
6,9901,6,9900
6,9902,6,9900
6,9903,6,9900
6,9904,6,9900
6,10100,6,10100
6,10701,6,10700
6,10702,6,10700
6,10703,6,10700
6,11101,6,11100
6,11102,6,11100
6,11103,6,11100
6,11104,6,11100
6,11105,6,11100
6,11106,6,11100
6,11300,6,11300
8,100,8,190
8,102,8,100
8,103,8,100
8,200,8,200
8,300,8,190
8,400,8,400
8,600,8,690
8,700,8,690
8,800,8,690
8,801,8,190
8,802,8,190
8,803,8,190
8,804,8,190
8,805,8,190
8,806,8,190
8,807,8,190
8,808,8,190
8,809,8,190
8,810,8,190
8,811,8,190
8,812,8,190
8,813,8,190
8,814,8,190
8,815,8,190
8,816,8,190
8,817,8,190
8,818,8,190
8,819,8,190
8,820,8,190
8,821,8,190
8,822,8,190
8,823,8,190
8,824,8,190
8,900,8,900
8,1001,8,1000
8,1002,8,1000
8,4101,8,4100
8,4102,8,4100
8,4103,8,4100
8,4104,8,4100
8,4105,8,4100
8,4106,8,4100
9,100,9,100
9,101,9,100
9,102,9,100
9,103,9,100
9,104,9,100
9,105,9,100
9,300,9,300
9,301,9,300
9,302,9,300
9,303,9,300
9,304,9,300
9,305,9,300
9,306,9,300
9,500,9,500
9,700,9,700
9,900,9,900
9,901,9,900
9,902,9,900
9,903,9,900
9,904,9,900
9,905,9,900
9,906,9,900
9,1100,9,1100
9,1101,9,1100
9,1300,9,1300
9,1500,9,1500
10,101,10,100
10,102,10,100
10,103,10,100
10,104,10,100
10,200,10,200
10,300,10,300
11,101,11,100
11,102,11,100
11,103,11,100
11,104,11,100
11,105,11,100
12,101,12,100
12,102,12,100
12,500,12,500
12,901,12,900
12,902,12,900
12,903,12,900
12,904,12,900
12,1101,12,1100
12,1102,12,1100
12,1103,12,1100
12,1104,12,1100
12,1105,12,1100
12,1106,12,1100
12,1107,12,1100
12,1108,12,1100
12,1109,12,1100
12,1110,12,1100
12,1111,12,1100
12,1112,12,1100
12,1113,12,1100
12,1114,12,1100
12,1500,12,1500
12,1701,12,1701
12,1900,12,1900
12,2101,12,2100
12,2102,12,2100
12,2103,12,2100
12,2300,12,2300
12,2700,12,2790
12,3101,12,3100
12,3102,12,3100
12,3103,12,3100
12,3104,12,3100
12,3105,12,3100
12,3106,12,3100
12,3107,12,3100
12,3301,12,3300
12,3302,12,3300
12,3500,12,3590
12,5301,12,5301
12,5701,12,5700
12,5702,12,5700
12,5703,12,5700
12,5704,12,5700
12,5705,12,5700
12,5706,12,5700
12,5707,12,5700
12,5708,12,5700
12,6100,12,6100
12,6300,12,6300
12,6901,12,6900
12,6902,12,6900
12,6903,12,6900
12,7101,12,7100
12,7102,12,7100
12,7103,12,7100
12,7104,12,7100
12,7105,12,7100
12,7300,12,7300
12,7301,12,7300
12,8101,12,8100
12,8102,12,8100
12,8103,12,8100
12,8301,12,8300
12,8302,12,8300
12,8303,12,8300
12,8500,12,8500
12,8601,12,8690
12,8602,12,8690
12,8603,12,8690
12,8604,12,8690
12,8605,12,8690
12,8606,12,8690
12,8607,12,8690
12,8608,12,8690
12,8609,12,8690
12,8610,12,8690
12,8611,12,8690
12,8612,12,8690
12,8613,12,8690
12,8614,12,8690
12,8615,12,8690
12,8616,12,8690
12,8617,12,8690
12,8618,12,8690
12,8619,12,8690
12,8620,12,8690
12,8621,12,8690
12,8622,12,8690
12,8623,12,8690
12,8624,12,8690
12,8700,12,8690
12,8900,12,8900
12,9100,12,9100
12,9300,12,2790
12,9501,12,9500
12,9502,12,9500
12,9503,12,9500
12,9504,12,9500
12,9505,12,9500
12,9506,12,9500
12,9507,12,9500
12,9508,12,9500
12,9509,12,9500
12,9510,12,9500
12,9701,12,9700
12,9702,12,9700
12,9901,12,9900
12,9902,12,9900
12,9903,12,9900
12,9904,12,9900
12,9905,12,9900
12,9906,12,9900
12,9907,12,9900
12,9908,12,9900
12,9909,12,9900
12,9910,12,9900
12,9911,12,9900
12,10101,12,10100
12,10102,12,10100
12,10103,12,10100
12,10104,12,10100
12,10301,12,10300
12,10302,12,10300
12,10303,12,10300
12,10304,12,10300
12,10305,12,10300
12,10306,12,10300
12,10307,12,10300
12,10308,12,10300
12,10501,12,10500
12,10502,12,10500
12,10503,12,10500
12,10504,12,10500
12,10700,12,10790
12,10900,12,10790
12,11101,12,11100
12,11102,12,11100
12,11300,12,11300
12,11501,12,11500
12,11502,12,11500
12,11503,12,11500
12,11701,12,11700
12,11702,12,11700
12,11703,12,11700
12,11704,12,11700
12,12100,12,12100
12,12701,12,3590
12,12702,12,3590
12,12703,12,3590
12,12704,12,3590
13,100,13,100
13,200,13,200
13,300,13,300
13,401,13,400
13,402,13,400
13,500,13,500
13,600,13,600
13,700,13,700
13,800,13,800
13,900,13,900
13,1001,13,1090
13,1002,13,1090
13,1003,13,1090
13,1004,13,1090
13,1005,13,1090
13,1006,13,1090
13,1007,13,1090
13,1008,13,1090
13,1100,13,1100
13,1200,13,1200
13,1300,13,1300
13,1400,13,1400
13,1500,13,1500
13,1600,13,1600
13,1700,13,1700
13,1800,13,1800
13,1900,13,1900
13,2001,13,1090
13,2002,13,1090
13,2003,13,1090
13,2004,13,1090
13,2100,13,2100
13,2200,13,2200
13,2300,13,2300
13,2400,13,2400
13,2500,13,2500
13,2600,13,2600
13,2700,13,2700
13,2800,13,2800
13,2900,13,2900
13,3001,13,3000
13,3002,13,3000
13,3003,13,3000
13,3004,13,3000
13,3005,13,3000
13,3101,13,3100
13,3102,13,3100
13,3200,13,3200
13,3300,13,3300
13,3400,13,3400
13,3500,13,3500
13,3600,13,3600
13,3700,13,3700
13,3800,13,3800
13,3900,13,3900
13,4000,13,4000
13,4001,13,4007
13,4002,13,4007
13,4003,13,4007
13,4004,13,4007
13,4005,13,4007
13,4006,13,4007
13,4100,13,4100
13,4200,13,4200
13,4300,13,4300
13,4400,13,4400
13,4500,13,4500
13,4600,13,1090
13,5001,13,5000
13,5002,13,5000
13,6001,13,6000
13,6002,13,6000
15,100,15,100
15,200,15,200
15,301,15,300
15,302,15,300
15,303,15,300
15,304,15,300
15,305,15,300
15,306,15,300
15,307,15,300
15,308,15,300
16,100,16,190
16,200,16,190
16,300,16,300
16,400,16,490
16,500,16,490
16,600,16,490
16,701,16,490
16,702,16,490
16,800,16,490
16,900,16,900
16,1000,16,1000
16,1100,16,1190
16,1200,16,1200
16,1300,16,1190
17,104,17,104
17,105,17,105
17,202,17,202
17,300,17,300
17,401,17,401
17,501,17,501
17,600,17,600
17,700,17,700
17,800,17,800
17,900,17,900
17,1001,17,1001
17,1104,17,1100
17,1105,17,1100
17,1204,17,1200
17,1205,17,1200
17,1300,17,1300
17,1500,17,1500
17,1602,17,1602
17,1701,17,1701
17,1900,17,1900
17,2000,17,2000
17,2100,17,2100
17,2200,17,2200
17,2300,17,2300
17,2400,17,2400
17,2501,17,2501
17,2601,17,2601
17,2700,17,2700
17,2801,17,2890
17,2901,17,2890
17,3005,17,3000
17,3007,17,3000
17,3008,17,3000
17,3009,17,3000
17,3102,17,3100
17,3105,17,3100
17,3106,17,3100
17,3107,17,3100
17,3108,17,3100
17,3202,17,3200
17,3203,17,3200
17,3204,17,3200
17,3205,17,3200
17,3207,17,3200
17,3208,17,3200
17,3209,17,3200
17,3306,17,3300
17,3307,17,3300
17,3308,17,3300
17,3309,17,3300
17,3310,17,3300
17,3401,17,3400
17,3407,17,3400
17,3408,17,3400
17,3409,17,3400
17,3410,17,3400
17,3411,17,3400
17,3412,17,3400
17,3413,17,3400
17,3414,17,3400
17,3415,17,3400
17,3416,17,3400
17,3417,17,3400
17,3418,17,3400
17,3419,17,3400
17,3420,17,3400
17,3421,17,3400
17,3422,17,3400
17,3501,17,3400
17,3502,17,3400
17,3503,17,3400
17,3504,17,3400
17,3520,17,3400
17,3521,17,3400
17,3522,17,3400
17,3523,17,3400
17,3524,17,3400
17,3525,17,3400
17,3526,17,3400
17,3527,17,3400
17,3528,17,3400
17,3529,17,3400
17,3530,17,3400
17,3531,17,3400
17,3532,17,3400
17,3601,17,3600
17,3602,17,3600
17,3700,17,3700
18,101,18,100
18,102,18,100
18,103,18,100
18,104,18,100
18,200,18,200
18,300,18,300
18,401,18,400
18,402,18,400
18,500,18,500
18,600,18,600
18,700,18,700
18,800,18,800
18,900,18,900
18,1001,18,1000
18,1002,18,1000
18,1003,18,1000
18,1100,18,1100
18,1200,18,1200
18,1300,18,1300
18,1400,18,1400
18,1500,18,1500
18,1600,18,1600
18,1700,18,1700
18,1801,18,1800
18,1802,18,1800
18,1803,18,1800
18,1900,18,1900
18,2000,18,2000
18,2100,18,2100
18,2200,18,2200
18,2301,18,2300
18,2302,18,2300
18,2303,18,2300
18,2304,18,2300
18,2305,18,2300
18,2306,18,2300
18,2307,18,2300
18,2400,18,2400
18,2500,18,2500
18,2600,18,2600
18,2700,18,2700
18,2800,18,2800
18,2900,18,2900
18,3000,18,3000
18,3100,18,3100
18,3200,18,3200
18,3300,18,3300
18,3400,18,3400
18,3500,18,3500
18,3600,18,3600
19,100,19,100
19,200,19,200
19,400,19,400
19,500,19,500
19,600,19,600
19,700,19,700
19,800,19,800
19,900,19,900
19,1000,19,1000
19,1100,19,1100
19,1200,19,1200
19,1300,19,1300
19,1400,19,1490
19,1500,19,1490
19,1600,19,1490
19,1700,19,1490
19,1800,19,1800
19,1900,19,1900
19,2000,19,2000
19,2100,19,2100
19,2200,19,2200
19,2300,19,2300
20,100,20,100
20,200,20,200
20,300,20,300
20,400,20,400
20,500,20,500
20,601,20,600
20,602,20,600
20,603,20,600
20,604,20,600
20,700,20,700
20,801,20,800
20,802,20,800
20,900,20,990
20,1000,20,1000
20,1100,20,990
20,1200,20,1200
20,1301,20,1300
20,1302,20,1300
20,1303,20,1300
20,1304,20,1300
20,1400,20,1400
20,1500,20,1500
21,100,21,100
21,200,21,200
21,300,21,300
21,400,21,400
21,500,21,500
21,600,21,600
21,700,21,700
21,800,21,800
21,900,21,900
21,1000,21,1000
21,1100,21,1100
21,1200,21,1290
21,1300,21,1290
21,1400,21,1400
21,1500,21,1500
21,1600,21,1690
21,1701,21,1700
21,1702,21,1700
21,1703,21,1700
21,1704,21,1700
21,1705,21,1700
21,1706,21,1700
21,1800,21,1690
21,1901,21,1900
21,1902,21,1900
21,2000,21,2000
21,2100,21,2100
21,2200,21,2200
21,2300,21,2300
21,2400,21,2400
21,2500,21,2500
21,2600,21,2600
21,2700,21,2700
21,2800,21,2800
22,100,22,100
22,101,22,100
22,200,22,200
22,300,22,300
22,400,22,400
22,500,22,500
22,600,22,600
22,700,22,700
22,800,22,890
22,900,22,890
22,1000,22,1000
22,1100,22,1100
22,1200,22,1200
22,1201,22,1200
22,1300,22,1300
22,1400,22,1400
22,1500,22,1500
22,1501,22,1500
22,1502,22,1500
22,1600,22,1600
22,1700,22,1700
22,1800,22,1800
22,1900,22,1900
22,2000,22,2000
22,2100,22,2100
22,2200,22,2200
22,2201,22,2200
22,2300,22,2390
22,2301,22,2390
22,2302,22,2390
22,2400,22,2400
22,2401,22,2400
22,2402,22,2400
22,2500,22,2390
23,100,23,100
23,200,23,200
23,300,23,300
23,400,23,400
23,500,23,500
23,600,23,600
23,700,23,790
23,800,23,790
23,900,23,790
23,1000,23,790
24,100,24,100
24,200,24,200
24,301,24,300
24,302,24,300
24,400,24,400
24,501,24,500
24,502,24,500
24,503,24,500
24,504,24,500
24,505,24,500
24,506,24,500
24,507,24,500
24,601,24,600
24,602,24,600
24,700,24,700
24,801,24,800
24,802,24,800
24,803,24,800
24,804,24,800
24,805,24,800
24,901,24,900
24,902,24,900
24,1001,24,1000
24,1002,24,1000
24,1003,24,1000
24,1004,24,1000
24,1005,24,1000
24,1006,24,1000
24,1007,24,1000
24,1101,24,1100
24,1102,24,1100
24,1103,24,1100
24,1104,24,1100
24,1105,24,1100
24,1106,24,1100
24,1107,24,1100
24,1201,24,1200
24,1202,24,1200
24,1203,24,1200
24,1204,24,1200
24,1300,24,1300
24,1400,24,1400
24,1500,24,1500
24,1600,24,1600
25,100,25,100
25,200,25,290
25,300,25,390
25,301,25,390
25,302,25,390
25,303,25,390
25,304,25,390
25,400,25,390
25,501,25,390
25,502,25,390
25,503,25,390
25,504,25,390
25,505,25,390
25,506,25,390
25,507,25,390
25,508,25,390
25,701,25,390
25,702,25,390
25,703,25,390
25,704,25,390
25,1000,25,390
25,1300,25,390
25,1400,25,390
25,1600,25,290
25,1900,25,290
25,1901,25,290
25,1902,25,290
25,2400,25,390
25,2800,25,390
25,3301,25,3300
25,3302,25,3300
25,3303,25,3300
25,3304,25,3300
25,3305,25,3300
25,3306,25,3300
25,3400,25,390
25,3500,25,390
25,3601,25,390
25,3602,25,390
25,3603,25,390
25,3900,25,390
25,4000,25,390
25,4200,25,390
25,4301,25,390
25,4302,25,390
25,4303,25,390
25,4500,25,390
25,4700,25,4790
25,4800,25,4790
25,4901,25,390
25,4902,25,390
25,4903,25,390
26,100,26,100
26,200,26,200
26,300,26,300
26,400,26,400
26,500,26,500
26,600,26,600
26,700,26,700
26,801,26,800
26,802,26,800
26,900,26,900
26,1001,26,1000
26,1002,26,1000
26,1003,26,1000
26,1004,26,1000
26,1100,26,1100
26,1200,26,1200
26,1300,26,1300
26,1400,26,1400
26,1500,26,1500
26,1600,26,1600
26,1701,26,1700
26,1702,26,1700
26,1703,26,1700
26,1704,26,1700
26,1801,26,1800
26,1802,26,1800
26,1900,26,1900
26,2000,26,2000
26,2101,26,2100
26,2102,26,2100
26,2200,26,2200
26,2300,26,2300
26,2400,26,2400
26,2500,26,2500
26,2600,26,2600
26,2701,26,2700
26,2702,26,2700
26,2703,26,2700
26,2800,26,2800
26,2901,26,2900
26,2902,26,2900
26,2903,26,2900
26,2904,26,2900
26,2905,26,2900
26,2906,26,2900
26,2907,26,2900
26,2908,26,2900
26,3001,26,3000
26,3002,26,3000
26,3003,26,3000
26,3004,26,3000
26,3005,26,3000
26,3006,26,3000
26,3100,26,3100
26,3201,26,3200
26,3202,26,3200
26,3203,26,3200
26,3204,26,3200
26,3205,26,3200
26,3206,26,3200
26,3207,26,3200
26,3208,26,3200
26,3209,26,3200
26,3210,26,3200
26,3211,26,3200
26,3212,26,3200
26,3213,26,3200
26,3300,26,3300
27,100,27,100
27,200,27,200
27,300,27,390
27,400,27,390
27,500,27,390
27,600,27,600
27,700,27,700
27,800,27,800
27,900,27,900
27,1000,27,1000
27,1101,27,1100
27,1102,27,1100
27,1103,27,1100
27,1201,27,1200
27,1202,27,1200
27,1301,27,1300
27,1302,27,1300
27,1303,27,1300
27,1304,27,1300
27,1401,27,1400
27,1402,27,1400
27,1403,27,1400
27,1404,27,1400
27,1405,27,1400
27,1406,27,1400
27,1407,27,1400
27,1408,27,1400
27,1409,27,1400
27,1410,27,1400
27,1501,27,1500
27,1502,27,1500
27,1503,27,1500
27,1600,27,1690
27,1700,27,1690
27,1800,27,1800
27,1900,27,1900
27,2000,27,2000
27,2100,27,2100
27,2200,27,2200
27,2300,27,2300
27,2400,27,2400
27,2500,27,2500
27,2600,27,2600
28,100,28,100
28,200,28,200
28,300,28,300
28,400,28,400
28,500,28,500
28,600,28,600
28,700,28,700
28,800,28,800
28,900,28,990
28,1000,28,990
28,1100,28,990
28,1200,28,990
28,1300,28,1300
28,1400,28,1400
28,1500,28,1500
28,1600,28,1600
28,1700,28,1700
28,1800,28,1800
28,1900,28,1900
28,2000,28,2000
28,2100,28,2100
29,100,29,100
29,200,29,200
29,300,29,300
29,400,29,400
29,500,29,500
29,600,29,600
29,700,29,700
29,800,29,800
29,901,29,900
29,902,29,900
29,903,29,900
29,1001,29,1000
29,1002,29,1000
29,1003,29,1000
29,1004,29,1000
29,1005,29,1000
29,1100,29,1100
29,1200,29,1200
29,1300,29,1300
29,1400,29,1400
29,1500,29,1500
29,1600,29,1600
29,1701,29,1700
29,1702,29,1700
29,1703,29,1700
29,1801,29,1800
29,1802,29,1800
29,1803,29,1800
29,1804,29,1800
29,1805,29,1800
29,1806,29,1800
29,1807,29,1800
29,1808,29,1800
29,1901,29,1900
29,1902,29,1900
29,2001,29,2000
29,2002,29,2000
29,2100,29,2100
29,2200,29,2200
29,2300,29,2300
29,2400,29,2400
29,2500,29,2500
29,2601,29,2600
29,2602,29,2600
29,2603,29,2600
29,2700,29,2700
29,2800,29,2800
30,100,30,100
30,200,30,200
30,300,30,300
30,400,30,400
30,500,30,500
30,600,30,690
30,700,30,690
31,100,31,100
31,200,31,200
31,300,31,300
31,400,31,400
31,500,31,500
31,600,31,600
31,701,31,701
31,702,31,702
31,801,31,800
31,802,31,800
31,901,31,900
31,902,31,900
31,903,31,900
31,904,31,900
32,101,32,100
32,102,32,100
32,103,32,100
32,200,32,200
32,300,32,300
32,401,32,400
32,402,32,400
32,403,32,400
32,404,32,400
32,405,32,400
32,406,32,400
32,407,32,400
32,408,32,400
32,409,32,400
32,410,32,400
32,411,32,400
32,412,32,400
32,413,32,400
33,100,33,100
33,200,33,290
33,300,33,290
33,400,33,290
33,500,33,500
33,600,33,290
33,700,33,290
33,800,33,290
33,900,33,290
33,1000,33,290
34,101,34,190
34,102,34,190
34,301,34,300
34,302,34,300
34,303,34,300
34,304,34,300
34,305,34,300
34,306,34,300
34,307,34,300
34,308,34,300
34,400,34,400
34,501,34,400
34,502,34,400
34,503,34,400
34,601,34,600
34,602,34,600
34,701,34,600
34,702,34,600
34,703,34,600
34,800,34,800
34,901,34,900
34,902,34,900
34,903,34,900
34,904,34,900
34,905,34,900
34,906,34,900
34,907,34,900
34,1001,34,1000
34,1002,34,1000
34,1003,34,1000
34,1101,34,1100
34,1102,34,1100
34,1103,34,1100
34,1104,34,1100
34,1105,34,1100
34,1106,34,1100
34,1201,34,1200
34,1202,34,1200
34,1203,34,1200
34,1204,34,1200
34,1205,34,1200
34,1301,34,1300
34,1302,34,1300
34,1401,34,1300
34,1402,34,1300
34,1403,34,1300
34,1404,34,1300
34,1501,34,1500
34,1502,34,1500
34,1503,34,1500
34,1504,34,1500
34,1600,34,1600
34,1700,34,1700
34,1800,34,1800
34,1901,34,1800
34,1902,34,1800
34,1903,34,1800
34,1904,34,1800
34,2001,34,2000
34,2002,34,2000
34,2003,34,2000
34,2101,34,2100
34,2102,34,2100
34,2103,34,2100
34,2104,34,2100
34,2201,34,2200
34,2202,34,2200
34,2301,34,2300
34,2302,34,2300
34,2303,34,2300
34,2400,34,2490
34,2500,34,2490
34,2600,34,190
35,100,35,190
35,200,35,190
35,300,35,300
35,400,35,400
35,500,35,500
35,600,35,600
35,700,35,790
35,801,35,790
35,802,35,790
35,803,35,790
35,804,35,790
35,805,35,790
35,806,35,790
35,900,35,900
35,1001,35,1000
35,1002,35,1000
35,1100,35,1100
35,1200,35,1200
36,100,36,100
36,200,36,200
36,300,36,300
36,401,36,400
36,402,36,400
36,403,36,400
36,500,36,500
36,600,36,600
36,701,36,700
36,702,36,700
36,703,36,700
36,704,36,700
36,800,36,800
36,901,36,900
36,902,36,900
36,903,36,900
36,904,36,900
36,905,36,900
36,906,36,900
36,1000,36,1000
36,1101,36,1100
36,1102,36,1100
36,1201,36,1200
36,1202,36,1200
36,1203,36,1200
36,1204,36,1200
36,1205,36,1200
36,1206,36,1200
36,1207,36,1200
36,1300,36,1300
36,1400,36,1400
36,1500,36,1500
36,1600,36,1600
36,1700,36,1700
36,1801,36,1800
36,1802,36,1800
36,1900,36,1900
36,2001,36,2000
36,2002,36,2000
36,2100,36,2100
36,2201,36,2200
36,2202,36,2200
36,2203,36,2200
36,2300,36,2300
36,2401,36,2400
36,2402,36,2400
36,2500,36,2500
36,2600,36,2600
36,2701,36,2700
36,2702,36,2700
36,2801,36,2800
36,2802,36,2800
36,2901,36,2900
36,2902,36,2900
36,2903,36,2900
36,3001,36,3000
36,3002,36,3000
36,3003,36,3000
36,3101,36,3100
36,3102,36,3100
36,3103,36,3100
36,3104,36,3100
36,3105,36,3100
36,3106,36,3100
36,3107,36,3100
36,3201,36,3200
36,3202,36,3200
36,3203,36,3200
36,3204,36,3200
36,3205,36,3200
36,3206,36,3200
36,3207,36,3200
36,3208,36,3200
36,3209,36,3200
36,3210,36,3200
36,3211,36,3200
36,3212,36,3200
36,3301,36,3300
36,3302,36,3300
36,3303,36,3300
36,3304,36,3300
36,3305,36,3300
36,3306,36,3300
36,3307,36,3300
36,3308,36,3300
36,3309,36,3300
36,3310,36,3300
36,3311,36,3300
36,3312,36,3300
36,3313,36,3300
36,3701,36,3700
36,3702,36,3700
36,3703,36,3700
36,3704,36,3700
